language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
boro1279,-,-,-,-,k,u,u,i,-,-,-,-,a,-,-,-,-
buru1306,-,m,o,o,k,-,-,e,t,-,-,-,a,N,-,i,-
buru1306,-,-,-,-,k,p,-,a,k,p,-,-,a,k,-,-,-
dedu1240,-,s,-,a,-,-,-,-,-,s,-,-,a,w,-,a,-
kube1244,-,m,-,o,k,-,-,-,d,z,-,-,o,N,-,-,-
kate1253,-,s,-,a,-,-,-,-,-,s,-,-,a,w,-,a,-
mape1249,-,s,-,o,-,-,-,-,-,s,-,-,o,w,-,o,-
onoo1246,-,-,-,-,k,-,-,o,-,r,-,-,o,p,-,-,-
mese1244,-,p,-,3,-,-,-,-,-,s,-,-,3,k,p,e,p
naba1256,-,-,-,i,l,-,-,i,n,s,-,-,a,k,p,e,p
komb1273,a,k,-,-,-,-,-,-,-,s,-,-,i,k,-,-,-
sele1250,-,k,-,e,-,-,-,-,-,r,-,-,e,k,-,-,-
timb1251,-,h,-,o,-,-,-,-,-,r,o,w,o,k,-,-,-
