language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
boro1279,-,-,-,-,s,a,-,k,-,a,s,i,N
buru1306,-,-,-,-,s,a,-,k,-,o,s,i,N
buru1306,-,-,-,-,s,a,-,k,-,-,-,-,-
kube1244,-,-,-,-,s,a,-,k,-,e,s,a,-
tobo1251,-,-,-,-,s,a,-,k,-,-,-,-,-
dedu1240,-,m,o,N,g,e,-,N,-,-,-,-,-
kate1253,-,-,-,-,m,o,N,g,-,-,-,e,N
mape1249,-,-,-,-,m,a,-,g,-,-,-,e,N
onoo1246,g,b,a,-,l,a,-,k,-,-,-,-,-
mese1244,-,-,-,-,g,a,-,N,-,a,-,-,-
naba1256,-,-,-,-,g,a,-,m,b,i,b,i,t
komb1273,-,-,-,-,s,a,-,k,-,-,-,-,-
sele1250,-,-,-,-,s,a,-,k,-,-,-,-,-
timb1251,-,-,-,-,s,a,-,k,-,-,-,-,-
