language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
boro1279,n,e,-,s,e,l,-,-,a,N,-,-
buru1306,n,e,-,s,o,l,-,-,a,m,-,-
buru1306,n,e,-,s,e,l,-,-,a,m,-,-
kube1244,-,e,d,z,e,r,-,-,a,N,-,-
tobo1251,-,e,d,z,e,l,-,-,o,m,-,-
dedu1240,-,-,-,-,-,n,-,-,a,m,e,N
kate1253,-,-,-,-,-,n,-,-,a,m,e,N
mape1249,-,-,-,-,e,r,-,-,o,-,-,N
onoo1246,-,-,-,b,e,l,a,k,a,m,i,-
mese1244,n,a,m,b,a,l,-,-,a,N,-,-
naba1256,n,a,m,b,a,r,-,-,a,m,-,-
komb1273,n,o,-,b,o,l,-,-,a,m,-,-
sele1250,n,i,-,b,i,l,-,-,a,m,-,-
timb1251,-,e,-,l,e,w,-,-,o,t,-,-
