language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
magd1235,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sant1440,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
ocot1243,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sanp1259,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sana1284,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
yucu1250,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sanm1292,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sanm1296,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
yoso1239,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sanm1295,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
atat1238,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,y,u,-
taca1257,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
nort2985,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
itun1239,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
sant1439,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
nuyo1238,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
yucu1249,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
ayut1236,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,7
sant1436,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,7
alco1235,-,-,k,-,-,a,-,-,-,-,-,-,-,-,S,i,-
alco1235,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
coic1238,-,-,y,-,-,u,-,-,-,-,-,-,-,-,-,u,-
coic1238,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
yolo1241,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
yolo1241,-,-,k,-,-,u,-,-,-,-,-,-,-,-,7,u,-
alac1244,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
alac1244,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
sanm1291,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sanm1291,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
juxt1235,-,-,Z,-,-,i,-,-,-,-,-,-,-,-,Z,i,-
juxt1235,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sila1250,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sila1250,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
sila1250,-,-,Z,-,-,3,-,-,-,-,-,-,-,-,Z,3,-
sila1250,-,-,Z,-,-,3,-,-,-,-,-,-,-,-,Z,3,-
mixt1425,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
mixt1425,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
mixt1425,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
cuat1239,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
tutu1243,-,-,k,-,-,a,-,-,-,-,-,-,t,-,S,i,-
sant1441,-,-,k,-,-,a,-,-,-,-,-,-,-,-,s,i,-
chay1249,-,-,k,-,-,a,-,-,-,-,-,-,t,-,S,i,-
chay1249,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
chay1249,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
jami1235,-,-,k,-,-,a,-,-,-,-,-,-,t,-,S,i,-
sanj1281,-,-,k,-,-,a,-,-,-,-,-,-,t,-,s,i,-
pino1237,-,-,k,-,-,a,-,-,-,-,-,-,t,-,S,i,-
pino1237,-,-,k,-,-,a,-,-,-,-,-,-,t,-,S,i,-
pino1237,-,-,k,-,-,a,-,-,-,-,-,-,t,-,S,i,-
pino1237,-,-,k,-,-,a,-,-,-,-,-,-,t,-,S,i,-
ixta1235,-,-,y,-,-,u,-,-,-,-,-,-,-,-,y,u,-
tama1339,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
tama1339,-,-,y,-,-,3,-,-,-,-,-,-,-,-,y,3,-
huit1252,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sind1277,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sanm1294,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
diux1236,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sant1445,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
peno1244,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sant1446,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
tida1235,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
sanj1282,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
soya1236,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
apas1235,-,-,Z,-,-,u,-,-,-,-,-,-,-,-,Z,u,-
