language,x1,x2,x3,x4,x5,x6,x7,x8,x9
magd1235,-,h,i,k,a,-,-,-,-
ocot1243,-,x,i,k,a,-,-,-,-
sanm1296,-,x,i,k,a,-,-,-,-
atat1238,-,x,i,k,a,-,-,-,-
ayut1236,-,S,i,k,a,-,-,7,-
alco1235,-,S,i,k,a,-,-,-,-
coic1238,-,S,i,k,a,-,-,-,-
yolo1241,-,S,i,k,a,-,-,-,-
alac1244,-,S,i,k,a,-,-,-,-
xoch1238,-,S,i,k,a,-,-,-,-
sanm1291,-,S,i,k,a,-,-,-,-
juxt1235,-,S,i,k,a,-,-,-,-
sila1250,-,S,i,k,a,-,-,-,-
mixt1425,t,s,i,k,a,-,-,-,-
chay1249,-,s,i,k,a,-,-,-,-
sanj1281,-,-,-,k,a,-,-,5,i
diux1236,-,S,i,k,a,-,-,-,-
coat1241,-,-,i,k,a,-,-,-,-
sant1437,-,y,e,7,e,-,-,-,-
tepe1280,-,5,i,-,e,-,-,-,-
chic1273,-,-,-,g,a,-,-,7,-
chic1273,-,-,-,g,a,-,-,7,a
sanm1298,-,-,-,k,3,-,-,7,-
sanm1298,-,-,-,-,a,n,e,h,-
copa1237,-,-,-,g,a,-,-,7,-
