language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
magd1235,-,Z,-,-,-,-,u,-,k,u,-,-,-
magd1235,-,Z,-,-,-,-,i,-,7,i,-,-,-
sant1440,-,Z,-,-,-,-,i,-,7,i,-,-,-
ocot1243,-,Z,-,-,-,-,u,-,k,u,-,-,-
sanp1259,-,Z,-,-,-,-,u,-,k,u,-,-,-
sana1284,-,Z,-,-,-,-,u,-,k,u,-,-,-
sana1284,-,Z,-,-,-,-,i,-,7,i,-,-,-
yucu1250,-,k,-,-,-,-,u,-,7,u,-,-,-
sanm1292,-,Z,-,-,-,-,u,-,k,u,-,-,-
sanm1296,-,Z,-,-,-,-,u,-,k,u,-,-,-
yoso1239,-,Z,-,-,-,-,u,-,k,u,-,-,-
sanm1295,-,Z,-,-,-,-,u,-,k,u,-,-,-
atat1238,-,Z,-,-,-,-,u,-,k,u,-,-,-
taca1257,-,Z,-,-,-,-,u,-,k,u,-,-,-
nort2985,-,Z,-,-,-,-,u,-,k,u,-,-,-
itun1239,-,y,-,-,-,-,u,-,k,u,-,-,-
sant1439,-,y,-,-,-,-,u,-,k,u,7,-,-
nuyo1238,-,Z,-,-,-,-,u,-,k,u,-,-,-
yucu1249,-,y,-,-,-,-,u,-,k,u,-,-,-
ayut1236,-,y,-,-,-,-,u,-,b,a,-,-,-
sant1436,-,y,-,-,-,-,u,-,b,a,-,-,-
sant1436,-,y,-,-,-,-,u,-,k,u,-,-,-
alco1235,-,y,-,-,-,-,u,-,k,u,-,-,-
alco1235,-,-,-,-,-,-,i,-,k,u,-,-,-
coic1238,-,y,-,-,-,-,u,-,b,a,-,-,-
coic1238,-,y,-,-,-,-,u,-,k,u,-,-,-
yolo1241,-,y,-,-,-,-,u,-,k,u,-,-,-
alac1244,-,k,-,-,-,-,u,-,7,u,-,-,-
alac1244,-,y,-,-,-,-,3,-,k,3,-,-,-
xoch1238,-,-,-,-,-,-,i,-,b,a,-,-,-
sanm1291,-,Z,-,-,-,-,u,-,k,u,-,-,-
sanm1291,-,y,-,-,-,-,u,h,k,u,-,-,-
juxt1235,-,Z,-,-,-,-,u,-,7,u,-,-,-
juxt1235,-,Z,-,-,-,-,i,-,k,i,-,-,-
sila1250,-,Z,-,-,-,-,3,-,k,3,-,-,-
sila1250,-,Z,-,-,-,-,u,-,k,u,-,-,-
sila1250,-,Z,-,-,-,-,3,-,Z,u,-,-,-
sila1250,-,y,-,-,-,-,u,-,k,u,-,-,-
mixt1425,-,y,-,-,-,-,u,-,k,u,-,-,-
mixt1425,-,y,-,-,-,-,u,-,k,u,-,-,-
mixt1425,-,y,-,-,-,-,u,-,k,u,-,-,-
mixt1425,-,k,-,-,-,-,u,-,7,u,-,-,-
cuat1239,-,y,-,-,-,-,u,-,k,u,-,-,-
tutu1243,-,y,-,-,-,-,u,-,k,u,-,-,-
sant1441,-,y,-,-,-,-,u,-,k,u,-,-,-
chay1249,-,k,-,-,-,-,u,-,7,u,-,-,-
chay1249,-,y,-,-,-,-,u,-,k,u,-,-,-
jami1235,-,k,-,-,-,-,u,-,7,u,-,-,-
sanj1281,-,y,-,-,-,-,u,-,k,u,-,-,-
sanj1281,-,y,-,-,-,-,u,-,b,a,-,-,-
pino1237,-,y,-,-,-,-,u,-,k,u,-,-,-
pino1237,-,k,-,-,-,-,u,-,7,u,-,-,-
pino1237,-,y,-,-,-,-,u,-,k,u,-,-,-
pino1237,-,k,-,-,-,-,u,-,7,u,-,-,-
ixta1235,-,y,-,-,-,-,u,-,b,a,-,-,-
huit1252,-,Z,-,-,-,-,u,-,k,u,-,-,-
sind1277,-,k,-,-,-,-,u,-,7,u,-,-,-
sanm1294,-,k,-,-,-,-,u,-,7,u,-,-,-
diux1236,-,Z,-,-,-,-,u,-,k,u,-,-,-
diux1236,-,k,-,-,-,-,u,-,7,u,-,-,-
sant1445,-,Z,-,-,-,-,u,-,k,u,-,-,-
sant1445,-,k,-,-,-,-,u,-,7,u,-,-,-
peno1244,-,k,-,-,-,-,u,-,7,u,-,-,-
sant1446,-,Z,-,-,-,-,u,-,k,u,-,-,-
tida1235,-,Z,-,-,-,-,u,-,k,u,-,-,-
sanj1282,-,k,-,-,-,-,u,-,7,u,-,-,-
soya1236,-,Z,-,-,-,-,u,-,k,u,-,-,-
apas1235,-,Z,-,-,-,-,u,-,k,u,-,-,-
apas1235,-,k,-,-,-,-,u,-,7,u,-,-,-
apas1235,-,Z,-,-,-,-,u,-,k,u,-,-,-
caca1250,-,Z,-,-,-,-,3,-,k,3,-,-,-
yucu1251,-,Z,-,-,-,-,u,-,k,u,-,-,-
chaz1235,-,y,-,-,-,-,u,-,k,u,-,-,-
sout3001,-,y,-,-,-,-,u,-,k,u,-,-,-
chig1239,-,k,-,-,-,-,u,-,7,u,-,-,-
coat1241,t,S,-,-,-,-,o,-,7,o,-,-,-
coat1241,-,S,u,7,u,k,u,-,7,u,-,-,-
coat1241,-,S,u,7,u,k,u,-,7,u,-,-,-
cuya1240,-,y,-,-,-,-,u,-,k,u,-,-,-
cuya1240,-,k,-,-,-,-,u,-,7,u,-,-,-
cuya1240,-,y,-,-,-,-,u,-,k,u,-,-,-
cuya1240,-,k,-,-,-,-,u,-,7,u,-,-,-
sant1437,-,y,-,-,-,-,a,-,t,a,-,-,-
tepe1280,-,y,-,-,-,-,a,-,t,a,-,-,-
chic1273,-,-,-,-,-,-,-,-,k,o,7,o,a
chic1273,-,-,-,-,-,-,-,-,k,o,h,-,-
sanm1298,-,-,-,-,-,-,-,-,k,o,h,-,-
