language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
sanj1282,-,-,t,e,S,i,-,-,-,-,-,i,-,-
sanj1282,-,-,t,e,S,i,-,-,-,-,-,i,-,-
yucu1250,-,-,t,e,-,-,-,-,-,-,-,e,-,-
nort2985,-,-,t,e,Z,i,-,-,-,-,-,i,-,-
nort2985,-,-,t,e,Z,i,-,-,-,-,-,i,-,-
soya1236,-,-,x,a,Z,e,-,-,-,-,-,e,-,-
soya1236,-,-,x,a,Z,e,-,-,-,-,-,e,-,-
apas1235,-,-,t,-,y,e,-,-,-,-,-,e,-,-
apas1235,-,-,t,-,S,e,-,-,-,-,-,e,-,-
tida1235,-,-,t,-,S,e,-,-,-,-,-,e,-,-
tama1339,-,-,t,-,-,e,-,-,-,-,-,e,-,-
tama1339,-,-,t,-,-,a,-,-,-,-,-,a,-,-
huit1252,-,-,t,-,-,e,-,-,-,-,-,e,-,-
sind1277,-,-,t,-,-,e,-,-,-,-,-,e,-,-
sanm1294,-,-,t,-,-,e,-,-,-,-,-,e,-,-
peno1244,-,-,t,-,-,e,-,-,-,-,-,e,-,-
atat1238,-,-,t,-,-,e,-,-,-,-,-,e,-,-
yoso1239,-,-,t,-,S,a,-,-,-,-,-,a,-,-
sanm1295,-,-,t,-,S,a,-,-,-,-,-,a,-,-
ocot1243,-,-,t,-,-,e,-,-,-,-,-,e,-,-
magd1235,-,-,t,-,-,e,-,-,-,-,-,e,-,-
taca1257,-,-,t,-,i,a,-,-,-,-,-,a,-,-
itun1239,-,-,t,-,-,e,-,-,-,-,-,e,-,-
sant1439,-,-,t,-,-,e,-,-,-,-,-,e,-,-
alco1235,-,-,t,-,-,a,-,-,-,-,-,a,-,-
alco1235,-,-,t,-,-,a,-,-,-,-,-,a,-,-
yolo1241,-,-,t,-,-,a,-,-,-,-,-,a,-,-
alac1244,-,-,t,-,-,a,-,-,-,-,-,a,-,-
alac1244,-,-,t,-,-,a,-,-,-,-,-,a,-,-
ayut1236,-,-,t,-,y,a,-,-,-,-,-,a,-,-
mixt1425,-,-,t,-,S,a,-,-,-,-,-,a,-,-
mixt1425,-,-,t,-,S,a,-,-,-,-,-,a,-,-
mixt1425,-,-,t,-,S,a,-,-,-,-,-,a,-,-
mixt1425,-,-,t,-,S,a,-,-,-,-,-,a,-,-
juxt1235,-,-,t,-,y,a,-,-,-,-,-,a,-,-
juxt1235,-,-,t,-,S,a,-,-,-,-,-,a,-,-
sila1250,-,-,t,-,S,a,-,-,-,-,-,a,-,-
sila1250,-,-,t,-,-,a,-,-,-,-,-,a,-,-
sila1250,-,-,t,-,-,a,-,-,-,-,-,a,-,-
sila1250,-,-,t,-,y,a,-,-,-,-,-,a,-,-
sila1250,-,-,t,-,y,a,-,-,-,-,-,a,-,-
sant1436,-,-,r,-,-,a,-,-,-,-,-,i,i,7
sant1436,-,-,r,-,-,a,-,-,-,-,-,i,i,7
sant1436,-,-,r,-,-,a,-,-,-,-,-,a,-,-
chay1249,-,-,r,-,-,a,-,-,-,y,3,3,-,-
chay1249,-,-,r,-,-,a,-,-,-,y,3,3,-,-
chay1249,-,-,r,-,-,a,-,-,-,y,3,3,-,-
