language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
sanj1282,-,-,-,u,7,w,a,-,-,-
yucu1250,-,-,-,u,7,w,a,-,-,-
nort2985,-,-,-,-,-,-,a,S,-,e
soya1236,-,-,-,a,8,-,a,-,-,-
apas1235,-,-,-,-,s,-,a,5,i,i
apas1235,-,-,-,-,s,-,a,5,i,i
apas1235,-,-,-,a,8,-,a,-,-,-
tida1235,-,-,-,u,7,-,a,-,-,-
tida1235,-,-,-,e,8,-,e,-,-,-
tama1339,-,-,-,u,7,-,a,-,-,-
tama1339,-,-,-,o,7,b,a,-,-,-
huit1252,-,-,-,u,7,w,e,-,-,-
sind1277,-,-,-,u,7,w,a,-,-,-
sanm1294,-,-,-,u,7,w,a,-,-,-
peno1244,-,-,-,u,7,-,a,-,-,-
atat1238,-,-,-,u,7,b,a,-,-,-
yoso1239,-,-,-,u,7,b,a,-,-,-
sanm1295,-,-,-,u,7,-,a,-,-,-
ocot1243,-,-,-,u,7,u,a,-,-,-
magd1235,-,-,-,u,7,w,a,-,-,-
taca1257,-,-,-,u,7,w,a,-,-,-
itun1239,-,-,-,u,7,b,a,-,-,-
alco1235,-,-,-,u,7,b,a,-,-,-
alco1235,-,-,-,u,7,b,a,-,-,-
yolo1241,-,-,-,u,7,b,a,-,-,-
alac1244,-,-,y,o,7,b,a,-,-,-
alac1244,-,-,y,o,7,w,a,-,-,-
ayut1236,-,-,-,u,7,b,a,-,-,-
mixt1425,-,-,-,u,7,b,a,-,-,-
mixt1425,-,-,-,u,7,b,a,-,-,-
mixt1425,-,-,-,u,7,b,a,-,-,-
mixt1425,-,-,-,u,7,-,a,-,-,-
juxt1235,-,-,-,o,7,b,a,-,-,-
juxt1235,-,-,-,u,7,b,a,-,-,-
sila1250,-,-,-,e,7,b,a,-,-,-
sila1250,-,-,-,i,7,b,a,-,-,-
sila1250,-,-,-,o,7,b,a,-,-,-
sant1436,-,-,-,u,7,b,a,-,-,-
chay1249,-,-,-,u,7,w,a,-,-,-
chay1249,-,-,-,u,7,w,a,-,-,-
jami1235,-,-,-,u,7,b,a,-,-,-
sanj1281,-,-,-,u,7,b,a,-,-,-
pino1237,-,-,-,u,7,w,a,-,-,-
pino1237,-,-,-,u,7,b,a,-,-,-
pino1237,-,-,-,u,7,w,a,-,-,-
tutu1243,-,-,-,u,7,w,a,-,-,-
ixta1235,-,-,-,u,7,b,a,-,-,-
chaz1235,-,-,-,u,7,-,a,-,-,-
chaz1235,-,-,-,u,7,-,a,-,-,-
sout3001,-,-,-,u,7,-,a,-,-,-
chig1239,-,-,-,u,7,w,a,-,-,-
coat1241,8,e,5,3,-,-,3,-,-,-
coat1241,8,e,5,3,-,-,3,-,-,-
cuya1240,-,-,-,u,7,w,e,-,-,-
cuya1240,5,e,5,3,-,-,3,-,-,-
cuya1240,5,e,5,3,-,-,3,-,-,-
cuya1240,5,e,5,3,-,-,3,-,-,-
cuya1240,5,e,5,3,-,-,3,-,-,-
chic1273,-,a,n,i,7,-,-,-,-,-
chic1273,-,-,n,i,7,w,a,h,-,-
chic1273,-,-,n,i,7,w,a,h,-,-
sanm1298,-,7,n,i,7,-,-,-,-,-
