language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
sanj1282,-,-,-,n,d,-,i,7,w,i,-
yucu1250,-,-,-,n,d,-,i,7,w,i,-
soya1236,-,-,-,n,d,-,e,7,w,e,-
apas1235,-,-,-,n,d,-,i,7,w,i,-
tida1235,-,-,-,n,d,-,i,7,w,i,-
tama1339,-,-,-,n,d,-,3,7,w,3,-
tama1339,b,i,i,n,d,-,i,-,b,a,-
tama1339,b,i,i,n,d,-,i,-,b,a,-
huit1252,-,-,-,n,d,-,3,7,w,3,-
sanm1294,-,-,-,n,d,-,3,7,w,3,-
peno1244,-,-,-,n,d,-,3,7,w,3,-
atat1238,-,-,-,-,l,-,3,7,b,3,-
atat1238,-,-,-,-,l,-,3,7,b,3,-
yoso1239,-,-,-,-,l,-,3,7,-,u,-
yoso1239,-,-,-,-,l,-,3,7,-,u,-
sanm1295,-,-,-,-,l,-,3,7,b,3,-
sanm1295,-,-,-,-,l,-,3,7,b,3,-
ocot1243,-,-,-,n,t,-,i,7,b,i,-
magd1235,t,i,-,n,d,-,i,7,b,i,-
magd1235,t,i,-,n,d,-,i,7,b,i,-
magd1235,-,-,-,-,l,-,i,-,-,i,-
magd1235,-,-,-,-,l,-,i,-,-,i,-
taca1257,-,-,-,n,d,-,3,-,-,3,-
itun1239,-,-,-,n,d,-,3,7,b,3,-
sant1439,-,-,-,n,d,-,3,7,w,3,-
alco1235,-,-,-,n,d,-,i,-,-,i,-
alco1235,k,a,-,n,-,-,-,-,-,i,-
yolo1241,-,-,-,n,d,-,i,-,-,i,-
alac1244,-,-,-,n,d,-,i,7,w,i,-
ayut1236,-,-,-,n,d,i,i,7,-,-,-
mixt1425,-,-,-,n,d,-,i,-,-,i,-
mixt1425,-,-,-,n,d,i,i,-,-,i,-
mixt1425,-,-,-,n,d,-,i,-,-,i,-
juxt1235,-,-,-,n,d,Z,i,7,b,i,-
juxt1235,-,-,-,n,d,-,i,7,b,i,-
sila1250,-,-,-,-,b,-,i,l,-,a,-
sila1250,-,-,-,-,b,-,i,l,-,a,-
sila1250,-,-,-,-,t,-,e,7,Z,e,-
sila1250,-,-,-,n,d,-,i,7,b,i,-
sila1250,-,-,-,-,b,-,i,-,-,i,-
sant1436,-,-,-,n,d,-,i,7,b,i,7
chay1249,-,-,-,n,d,-,3,7,w,3,-
chay1249,-,-,-,n,d,-,3,7,b,3,-
jami1235,-,-,-,n,d,-,3,7,b,3,-
sanj1281,-,-,-,n,d,-,3,7,b,3,-
pino1237,-,-,-,n,d,-,i,7,b,i,-
pino1237,-,-,-,n,d,-,3,7,b,3,-
pino1237,-,-,-,n,d,-,i,7,w,i,-
pino1237,-,-,-,n,d,-,i,7,b,i,-
tutu1243,-,-,-,n,d,-,3,7,w,3,-
ixta1235,-,-,-,n,d,-,3,7,b,3,-
ixta1235,-,-,-,-,l,-,3,7,b,3,-
chaz1235,-,-,-,n,s,-,i,7,w,i,-
chaz1235,-,-,-,n,d,Z,i,-,-,i,-
sout3001,-,-,-,n,t,S,i,7,-,i,-
chig1239,-,-,-,n,d,Z,i,7,-,i,-
caca1250,-,-,-,-,t,S,i,-,-,a,-
coat1241,-,-,-,n,d,-,3,-,-,3,-
cuya1240,-,-,-,n,d,-,3,-,-,3,-
cuya1240,-,-,-,n,d,-,3,7,w,3,-
tepe1280,-,-,-,n,d,-,u,n,-,u,-
chic1273,-,-,-,n,-,-,u,7,w,i,-
chic1273,-,-,-,n,-,-,u,-,w,i,-
sanm1298,-,-,-,n,-,-,u,7,b,i,-
copa1237,-,-,-,n,-,-,u,7,w,e,7
