language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
magd1235,-,-,n,d,-,i,-,-,-,h,-,i,-,-,-
sant1440,-,-,n,d,-,i,-,-,-,x,-,i,-,-,-
ocot1243,-,-,n,-,-,i,-,-,-,x,-,i,-,-,-
sanp1259,-,-,n,d,-,i,-,-,-,x,-,i,-,-,-
sana1284,-,-,n,d,-,i,-,-,-,x,-,i,-,-,-
yucu1250,-,-,n,d,-,i,-,-,-,x,-,i,-,-,-
sanm1292,-,-,n,d,-,i,-,-,-,x,-,i,-,-,-
sanm1296,-,-,n,d,-,i,-,-,-,x,-,i,-,-,-
yoso1239,-,-,n,d,-,i,-,-,-,x,-,i,-,-,-
sanm1295,-,-,n,d,-,i,-,-,-,x,-,i,t,3,-
sanm1295,-,-,n,d,-,i,-,-,-,x,-,i,t,3,-
atat1238,-,-,n,d,-,i,-,-,-,x,-,e,-,-,-
taca1257,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
nort2985,-,-,n,d,-,i,-,-,-,x,-,i,-,-,-
itun1239,t,3,n,d,-,i,-,-,-,x,y,e,-,-,-
itun1239,t,3,n,d,-,i,-,-,-,x,y,e,-,-,-
nuyo1238,-,-,-,t,-,-,-,-,-,S,-,i,y,o,-
yucu1249,-,-,-,t,-,-,-,-,-,S,-,i,y,o,-
ayut1236,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
sant1436,-,-,n,d,-,i,-,-,t,S,-,i,-,-,-
alco1235,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
alco1235,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
coic1238,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
coic1238,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
yolo1241,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
alac1244,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
alac1244,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
xoch1238,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
sanm1291,-,-,n,t,S,i,-,-,-,S,-,i,-,-,-
sanm1291,-,-,n,t,S,i,-,-,-,S,-,i,-,-,-
juxt1235,-,-,n,d,Z,i,-,-,-,S,-,i,-,-,-
juxt1235,-,-,n,d,y,i,-,-,-,s,y,i,-,-,-
sila1250,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
sila1250,-,-,n,d,-,i,-,-,-,s,-,i,-,-,-
sila1250,-,-,n,d,-,i,-,-,-,s,-,i,-,-,-
sila1250,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
mixt1425,-,-,n,d,y,i,-,-,t,S,-,i,-,-,-
mixt1425,-,-,n,t,s,i,-,-,t,s,-,i,-,-,-
mixt1425,-,-,n,d,s,i,-,-,t,s,-,i,-,-,-
cuat1239,-,-,n,d,-,u,-,-,-,S,-,i,-,-,-
tutu1243,-,-,n,d,-,i,-,-,t,S,-,i,-,-,-
sant1441,-,-,n,d,-,i,-,-,-,s,-,i,-,-,-
chay1249,-,-,n,d,-,i,-,-,t,S,-,i,-,-,-
chay1249,-,-,n,d,-,i,-,-,t,S,-,i,-,-,-
jami1235,-,-,n,d,-,i,-,-,t,S,-,i,-,-,-
sanj1281,-,-,n,d,-,i,-,-,t,s,-,i,-,-,-
pino1237,-,-,n,d,-,i,-,-,t,S,-,i,-,-,-
pino1237,-,-,n,d,-,i,-,-,t,S,-,i,-,-,-
pino1237,-,-,n,d,-,i,-,-,t,S,-,i,-,-,-
pino1237,-,-,n,d,-,i,-,-,t,S,-,i,-,-,-
ixta1235,-,-,n,d,-,i,-,-,t,S,-,i,-,-,-
tama1339,-,-,n,d,-,i,-,-,-,S,-,3,-,-,-
tama1339,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
huit1252,-,-,n,d,-,i,-,-,-,x,-,i,-,-,-
sanm1294,-,-,n,d,Z,i,-,-,-,-,-,i,-,-,-
diux1236,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
sant1445,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
peno1244,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
sant1446,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
tida1235,-,-,n,d,Z,i,-,-,-,s,-,i,-,-,-
sanj1282,-,-,n,d,-,i,-,-,-,x,-,i,-,-,-
soya1236,-,-,n,d,Z,i,-,-,-,S,-,i,-,-,-
apas1235,-,-,n,d,Z,i,-,-,-,S,-,i,-,-,-
apas1235,-,-,n,Z,-,i,-,-,-,S,-,i,-,-,-
caca1250,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
yucu1251,-,-,n,d,-,i,-,-,-,s,-,i,-,-,-
chaz1235,-,-,n,d,-,i,-,-,-,S,-,i,-,-,-
