language,x1,x2,x3,x4,x5,x6,x7,x8
oroq1238,-,-,3,m,-,3,-,-
hail1248,-,-,3,m,-,3,-,-
negi1245,-,-,3,m,-,3,-,-
hiss1234,-,-,-,-,-,i,s,-
hiss1234,-,-,3,m,-,3,-,-
hiss1234,-,-,3,m,-,3,-,-
hiss1234,-,-,3,m,-,3,-,-
ilim1234,-,-,3,m,-,3,-,-
nort3334,-,-,3,m,-,3,-,-
solo1263,-,-,3,m,-,3,-,-
kuro1242,-,-,3,m,-,3,-,-
nana1257,d,y,i,d,-,3,-,-
nana1257,d,y,i,-,-,-,-,-
nana1257,d,Z,i,-,-,-,-,-
ulch1241,d,-,i,-,-,-,-,-
orok1265,-,S,i,n,d,o,-,-
oroc1248,-,-,3,m,-,3,-,-
udih1248,-,-,3,m,-,3,-,-
kile1243,-,-,3,m,-,3,-,-
even1260,-,-,e,m,-,-,-,-
manc1252,d,-,-,Z,-,i,-,-
jurc1239,-,-,i,S,-,i,x,a
jurc1239,d,-,i,y,-,u,-,-
xibe1242,d,-,-,Z,-,i,-,-
