language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
ulch1241,-,-,d,-,-,-,Z,-,3,-,r,y,i,-,-,-,-
ulch1241,-,-,-,-,-,-,k,-,e,-,r,-,a,-,-,-,-
nana1257,-,-,-,-,-,-,q,-,a,-,r,-,a,-,-,-,-
nana1257,-,-,-,-,-,-,k,y,e,-,r,-,a,-,-,-,-
nana1257,-,-,-,-,-,-,k,y,e,-,r,-,a,-,-,-,-
orok1265,-,-,-,-,-,-,m,-,u,-,t,S,o,-,-,-,-
orok1265,-,-,-,-,-,-,k,-,i,-,r,-,a,-,-,-,-
oroc1248,-,-,-,-,-,-,k,y,i,-,-,-,a,-,-,-,-
udih1248,-,-,-,-,-,-,k,y,-,-,-,-,E,-,-,-,-
oroq1238,k,3,t,-,-,-,S,-,-,-,-,-,i,-,-,-,n
negi1245,-,-,d,-,-,-,Z,-,3,-,y,-,3,-,-,-,n
negi1245,-,-,d,-,-,-,Z,-,3,-,y,-,3,-,-,-,n
kile1243,-,-,t,S,a,p,k,h,a,-,r,-,E,-,-,-,-
even1260,-,-,-,-,-,-,-,-,-,d,Z,-,e,y,e,-,n
even1260,-,-,-,-,-,-,k,i,i,X,r,-,a,-,a,X,n
even1260,-,-,-,-,-,-,k,i,i,X,r,-,a,-,a,X,x
manc1252,-,-,X,-,-,o,S,-,o,-,-,-,-,-,-,-,-
manc1252,-,-,d,-,-,-,Z,-,3,-,r,y,i,-,-,-,n
xibe1242,-,u,d,-,-,-,Z,-,o,-,-,-,-,-,-,-,n
