language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
oroq1238,-,-,-,-,-,o,-,-,l,-,-,-,-,o,-
hail1248,-,-,-,-,-,o,-,-,l,-,-,d,-,o,-
negi1245,-,-,-,-,-,o,-,-,l,-,-,-,-,o,-
hiss1234,-,-,-,-,-,o,-,-,l,-,-,d,-,o,-
hiss1234,-,-,-,-,-,o,-,-,l,-,-,-,-,o,-
hiss1234,-,-,-,-,-,o,-,-,l,-,-,d,-,o,-
hiss1234,-,-,-,-,-,o,-,-,l,-,-,-,-,o,-
ilim1234,-,-,-,-,-,o,-,-,l,-,-,d,-,o,-
nort3334,-,-,-,-,-,o,-,-,l,-,-,-,-,o,-
solo1263,-,-,-,-,-,o,-,S,x,-,-,-,-,o,N
kuro1242,-,-,-,-,-,-,-,-,-,-,o,l,-,o,-
kuro1242,-,-,-,-,-,e,-,m,-,-,a,X,-,a,-
nana1257,-,-,-,s,w,o,-,G,d,-,a,t,-,a,-
nana1257,-,-,-,-,-,e,-,m,-,-,-,X,-,a,-
nana1257,-,-,-,-,-,e,-,m,-,-,a,X,-,a,-
ulch1241,-,-,-,s,-,o,-,g,d,-,a,t,-,a,-
orok1265,-,-,-,S,-,u,-,N,d,-,o,t,-,o,-
oroc1248,-,-,-,s,-,o,-,g,d,Z,a,s,-,a,-
udih1248,-,-,-,s,-,u,-,g,d,z,-,-,-,E,-
kile1243,-,-,i,m,-,a,-,-,x,-,-,-,-,o,-
even1260,-,-,-,-,-,o,o,X,l,-,-,r,a,a,X
manc1252,n,y,i,m,-,a,-,-,X,-,-,-,-,a,-
jurc1239,n,-,i,m,-,u,-,-,x,-,-,-,-,a,-
xibe1242,n,-,i,m,-,-,-,-,x,-,-,-,-,o,-
