language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
ulch1241,-,-,n,-,-,o,n,-,d,o,s,o,-,-,-
ulch1241,s,i,N,g,-,u,-,-,d,-,Z,u,-,-,-
nana1257,-,-,-,g,-,3,x,-,t,-,S,i,-,-,-
nana1257,-,-,-,g,-,3,k,-,t,-,S,i,-,-,-
nana1257,-,-,-,g,-,3,k,-,t,-,S,i,-,-,-
orok1265,-,-,-,-,-,-,-,-,-,-,S,u,N,u,n
oroc1248,-,-,-,g,-,3,k,-,t,-,-,i,-,-,-
udih1248,-,-,-,g,-,3,k,-,t,-,-,i,-,-,-
oroq1238,-,-,-,d,-,o,N,o,t,-,-,o,-,-,-
negi1245,-,-,-,-,-,i,N,-,x,-,-,u,-,-,m
kile1243,-,-,-,g,-,3,k,-,t,-,h,i,-,-,-
even1260,-,-,-,b,a,a,X,-,t,-,-,a,a,X,n
manc1252,-,-,-,g,-,3,-,-,t,-,S,3,-,-,-
xibe1242,-,-,-,g,-,3,-,-,t,-,S,u,-,-,-
