language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
ulch1241,-,-,-,-,-,s,-,i,-,-,-,r,u,-,-,-,-
ulch1241,-,-,-,-,-,s,-,e,-,-,-,y,a,-,-,-,-
nana1257,-,-,-,-,-,s,y,e,-,-,-,r,o,-,-,-,-
nana1257,-,-,-,-,-,s,-,e,-,-,-,y,a,-,-,-,n
orok1265,-,-,-,-,-,-,X,o,n,o,q,t,o,-,-,-,-
oroc1248,-,-,-,-,-,t,-,i,-,-,-,p,a,-,-,-,-
udih1248,o,5,o,k,-,t,-,-,-,-,-,-,o,-,-,-,-
oroq1238,-,-,-,-,-,S,-,e,r,-,-,g,e,-,-,-,-
negi1245,-,-,-,-,-,s,-,i,-,-,-,y,u,-,-,-,n
negi1245,-,-,-,-,-,s,-,e,-,-,-,y,u,-,-,-,n
kile1243,-,C,-,h,t,S,h,o,-,-,-,r,o,-,-,-,N
even1260,o,-,-,-,o,X,5,i,-,-,-,i,X,-,-,-,N
manc1252,-,-,-,-,-,-,-,-,-,-,-,y,o,N,G,a,n
xibe1242,-,-,-,-,-,n,-,i,-,-,-,y,o,N,u,-,n
