language,x1,x2,x3,x4,x5,x6,x7,x8,x9
oroq1238,m,-,-,-,-,i,r,3,-
hail1248,m,-,-,-,-,i,r,3,-
negi1245,m,-,-,-,-,i,y,3,-
hiss1234,m,-,-,-,-,i,r,3,-
hiss1234,m,-,-,-,-,3,r,3,-
hiss1234,m,-,-,-,-,i,r,3,-
ilim1234,m,-,-,-,-,i,r,3,-
nort3334,m,-,-,-,-,i,r,3,-
solo1263,m,-,-,-,-,i,r,-,-
kuro1242,m,-,3,-,-,y,r,3,-
nana1257,m,-,3,-,-,i,r,3,-
nana1257,m,w,u,-,-,y,r,3,-
nana1257,N,w,u,-,-,y,r,3,-
ulch1241,N,-,u,-,-,y,r,3,-
orok1265,m,-,u,-,-,i,r,3,-
oroc1248,b,-,o,g,d,o,l,o,-
oroc1248,m,-,-,-,y,i,y,3,-
udih1248,b,-,o,g,d,o,l,o,-
kile1243,m,-,-,-,-,i,r,3,-
even1260,m,-,-,-,-,i,r,-,-
manc1252,m,-,3,-,-,i,r,3,n
jurc1239,m,-,3,-,-,i,r,3,-
xibe1242,m,-,-,-,-,i,r,i,n
