language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
ulch1241,e,-,-,l,-,-,s,-,o,-,-
nana1257,e,-,-,l,y,e,s,y,e,-,-
nana1257,e,-,-,l,-,e,s,-,e,-,-
orok1265,i,-,-,l,-,-,-,-,i,-,-
oroc1248,i,-,-,l,y,i,s,y,i,-,-
udih1248,i,-,-,l,y,i,s,y,i,-,-
udih1248,i,-,-,l,-,-,-,y,i,-,-
oroq1238,e,-,-,l,-,-,-,-,e,-,-
negi1245,i,-,-,l,-,-,-,-,i,t,S
negi1245,i,-,-,l,-,-,-,-,i,t,-
negi1245,e,-,-,l,-,-,-,-,i,t,S
negi1245,e,-,-,l,-,-,-,-,i,t,-
kile1243,i,-,-,l,-,-,-,-,i,-,-
even1260,i,i,X,l,-,-,-,g,e,m,-
manc1252,i,-,-,l,-,-,-,y,i,-,-
xibe1242,i,-,-,l,-,-,-,-,o,-,-
