language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
oroq1238,-,-,-,t,S,i,t,S,u,-,-,-,r,-,-,-,-,-
negi1245,-,-,-,t,-,-,-,-,o,-,N,-,n,-,o,-,-,-
hiss1234,-,-,-,m,-,-,-,-,3,-,N,-,n,-,3,-,-,-
hiss1234,-,-,-,N,-,-,-,-,3,-,N,-,n,-,3,-,-,-
ilim1234,-,-,-,g,-,-,-,-,u,-,r,u,m,-,a,-,-,-
solo1263,-,-,-,t,-,-,-,-,o,-,n,-,d,-,o,x,u,N
kuro1242,s,u,l,t,-,-,-,-,u,-,k,-,-,-,u,-,-,-
kuro1242,-,-,-,t,-,-,-,-,o,-,N,-,n,-,o,-,-,-
nana1257,-,-,-,t,-,-,-,-,o,-,N,g,d,-,o,-,-,-
nana1257,-,-,-,t,-,-,-,w,o,-,N,-,d,w,o,-,-,-
ulch1241,-,-,-,t,-,-,-,-,o,-,N,-,d,-,o,-,-,-
orok1265,-,-,-,t,-,-,-,-,o,-,N,-,d,-,o,-,-,-
oroc1248,-,-,-,t,-,-,-,-,o,-,N,-,n,-,o,-,-,-
udih1248,-,-,-,t,-,-,-,-,o,-,N,-,d,-,o,-,-,-
kile1243,-,-,-,t,-,-,-,h,o,-,n,-,d,-,u,-,-,-
even1260,-,-,-,t,-,-,-,S,o,r,g,-,-,-,u,t,i,-
even1260,-,-,-,-,-,-,-,-,-,-,N,-,-,-,u,-,u,n
manc1252,-,-,-,t,-,-,-,-,o,-,n,-,d,-,o,-,-,-
xibe1242,-,-,-,t,-,-,-,h,o,-,n,-,d,-,o,q,u,n
