language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
east2333,-,-,-,s,-,a,-,-,-,-,-
maaa1253,-,-,-,s,-,a,-,-,-,-,-
maaa1253,-,-,-,s,-,a,-,-,-,-,-
bulo1242,-,-,-,s,-,a,-,-,-,-,-
chra1242,-,-,-,s,-,a,-,-,-,-,-
sree1244,-,-,-,s,-,a,-,-,-,-,-
chil1279,-,-,-,s,-,a,-,-,-,-,-
tamp1251,-,-,-,s,-,a,-,-,-,-,-
nyah1249,T,-,t,s,-,a,-,-,-,-,-
lave1248,T,-,t,s,-,a,-,-,-,-,-
oyyy1238,T,-,t,s,-,a,-,-,-,-,-
tali1257,T,-,t,s,-,a,-,-,-,-,-
alak1253,T,-,t,s,-,a,-,-,-,-,-
cuaa1241,-,-,-,s,-,a,-,-,-,-,-
todr1244,-,-,-,k,-,a,-,7,-,-,-
katu1272,T,-,t,s,-,a,-,-,-,-,-
west2398,T,-,t,s,-,a,-,-,-,-,-
ngeq1245,T,-,t,s,-,a,-,-,-,-,-
sooo1254,T,-,t,s,-,a,-,-,-,-,-
trii1240,T,-,t,s,o,a,-,-,-,-,-
paco1243,T,-,t,s,-,a,-,-,-,-,-
phon1246,-,-,-,s,-,a,-,-,-,-,-
nyah1250,T,-,t,s,-,a,-,7,-,-,-
monn1252,T,-,t,s,-,a,-,-,-,-,-
sema1266,T,-,t,s,-,a,-,7,-,-,-
temi1246,T,-,t,s,-,a,-,7,-,-,-
jahh1242,T,-,t,s,-,a,-,7,-,-,-
kens1248,T,-,t,s,-,i,-,7,-,-,-
jeha1242,5,-,-,-,-,E,-,m,-,-,-
seme1247,T,-,t,s,-,a,-,-,-,-,-
sema1265,T,-,t,s,-,a,-,-,-,-,-
cent1989,T,h,t,s,h,i,-,-,-,-,-
nort2684,-,-,-,s,-,i,-,-,-,-,-
mlab1235,-,-,-,7,-,3,-,-,-,-,-
rucc1239,-,-,-,7,-,a,-,n,-,-,-
mali1278,-,-,-,7,-,a,-,n,-,-,-
aheu1239,-,-,-,7,-,a,-,n,-,-,-
aheu1239,-,-,-,7,-,a,-,n,-,-,-
viet1252,-,-,-,-,-,a,-,n,-,-,-
ruch1235,-,-,-,h,-,o,-,m,-,-,-
ruma1248,-,-,-,h,-,o,-,m,-,-,-
huuu1240,k,h,k,h,-,a,-,i,-,-,-
khan1274,-,-,t,-,-,u,-,7,-,-,-
bitt1240,-,-,t,-,-,u,-,7,-,-,-
puoc1238,T,-,t,s,-,a,-,-,-,-,-
mang1378,-,-,-,s,-,a,-,-,-,-,-
nanc1247,-,-,-,-,-,o,k,N,o,o,k
carn1240,-,-,-,5,-,a,-,-,-,-,-
khar1287,-,-,-,5,-,o,-,g,-,-,-
juan1238,-,-,d,Z,-,i,-,m,-,-,-
sant1410,-,-,d,Z,-,o,-,m,-,-,-
mund1320,-,-,d,Z,-,o,-,m,-,-,-
kork1243,-,-,d,Z,-,o,-,m,-,-,-
sora1254,-,-,d,Z,-,u,-,m,-,-,-
pare1266,-,-,-,g,-,a,-,7,-,-,-
bond1245,-,-,-,s,-,u,-,m,-,-,-
khas1269,-,-,-,b,-,a,-,m,-,-,-
