language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
east2333,-,-,-,-,-,-,-,-,-,h,-,a,-,-,-,-,-
maaa1253,-,-,-,-,-,-,-,-,l,h,-,a,-,-,-,-,-
maaa1253,-,-,-,-,-,-,-,-,n,h,-,a,-,-,-,-,-
bulo1242,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
chra1242,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
sree1244,-,-,-,-,-,-,-,-,n,h,-,a,-,-,-,-,-
chil1279,-,-,-,-,-,-,-,-,n,h,-,a,-,-,-,-,-
tamp1251,h,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
nyah1249,h,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
lave1248,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
oyyy1238,h,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
tali1257,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
alak1253,h,-,-,-,-,3,l,7,l,-,-,a,-,-,-,-,-
cuaa1241,h,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
hala1252,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
todr1244,h,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
katu1272,-,-,-,-,-,-,-,-,l,-,-,a,-,-,h,-,-
west2398,7,-,-,-,-,a,-,-,l,-,-,a,-,-,-,-,-
ngeq1245,h,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
sooo1254,s,-,-,-,-,i,-,-,l,-,-,a,-,-,-,-,-
trii1240,s,-,-,-,-,3,-,-,l,-,-,a,-,-,-,-,-
paco1243,-,-,-,-,-,u,-,-,l,-,-,a,-,-,-,-,-
phon1246,-,-,-,-,-,-,-,-,t,-,-,3,-,-,w,-,-
nyah1250,h,-,-,-,-,-,-,-,l,-,-,a,-,-,7,-,-
monn1252,s,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
sema1266,s,-,-,-,-,-,-,-,l,-,-,a,-,-,7,-,-
temi1246,s,e,l,a,s,3,-,-,l,-,-,a,-,-,7,-,-
jahh1242,h,-,-,-,-,-,-,-,l,-,-,a,-,-,7,-,-
kens1248,h,-,-,-,-,a,-,-,l,-,-,i,-,-,7,-,-
jeha1242,h,-,-,-,-,3,-,-,l,-,-,i,-,-,7,-,-
seme1247,-,-,-,-,-,-,-,-,d,-,-,a,-,-,w,o,n
sema1265,s,-,-,-,-,a,-,-,l,-,-,a,-,-,-,-,-
cent1989,s,-,-,-,-,3,-,-,l,-,-,3,-,-,k,-,-
nort2684,s,-,-,-,-,-,-,-,l,-,-,o,-,-,7,-,-
mlab1235,-,-,-,-,-,-,-,-,b,-,-,3,-,-,-,-,-
rucc1239,7,-,-,-,-,u,-,-,l,-,-,a,-,-,-,-,-
mali1278,-,-,-,-,-,u,-,-,l,-,-,a,-,-,-,-,-
aheu1239,s,-,-,-,-,a,-,-,l,-,-,a,-,-,-,-,-
aheu1239,s,-,-,-,-,a,-,7,l,-,-,a,-,-,7,-,-
viet1252,-,-,-,-,-,-,-,-,l,a,-,a,-,-,-,-,-
ruch1235,-,-,-,-,-,-,-,-,l,h,l,a,-,-,-,-,-
ruma1248,-,-,-,-,-,-,-,-,l,h,l,a,-,-,-,-,-
huuu1240,-,-,-,-,-,-,-,-,l,-,-,a,-,-,7,-,-
khan1274,-,-,-,-,-,-,-,-,b,-,-,a,-,-,3,-,-
bitt1240,k,-,-,-,-,3,-,-,l,-,n,a,-,-,-,-,-
puoc1238,-,-,-,-,-,-,-,-,b,-,-,3,-,-,w,-,-
mang1378,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
nanc1247,-,-,-,-,-,-,-,-,r,-,-,a,-,a,y,-,-
carn1240,-,-,-,-,-,-,-,-,r,-,-,o,-,-,y,-,-
khar1287,u,-,-,-,-,-,-,-,l,-,-,a,-,-,g,-,-
juan1238,o,-,-,-,-,-,-,-,l,-,-,a,-,-,g,-,-
sant1410,-,-,-,-,-,-,-,-,s,-,-,a,-,-,k,a,m
mund1320,-,-,-,-,-,-,-,-,s,-,-,a,-,-,k,a,m
sora1254,o,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-
pare1266,o,-,-,-,-,-,-,-,l,-,-,a,-,-,7,-,-
bond1245,u,-,-,-,-,-,-,-,l,-,-,a,-,-,k,-,-
khas1269,s,-,-,-,-,-,-,-,l,-,-,a,d,i,N,-,-
