language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
east2333,n,-,e,h,-,-,-,t,-,-,-,-,-,-,3,-,m,-,-,-
maaa1253,-,-,-,b,-,-,u,7,-,-,-,-,-,-,3,-,n,-,-,-
maaa1253,-,-,-,b,-,-,u,7,-,-,-,-,-,-,3,-,n,-,-,-
maaa1253,m,-,-,b,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-
bulo1242,-,-,-,b,-,-,-,-,-,-,-,-,-,-,3,-,n,-,-,-
chra1242,-,-,-,b,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-
sree1244,5,-,-,T,-,-,a,w,-,-,-,-,-,-,-,-,-,-,-,-
chil1279,-,-,-,T,t,s,o,g,-,-,-,-,-,-,o,-,-,-,-,-
tamp1251,-,-,-,p,-,-,i,-,-,-,-,-,-,-,3,-,n,-,o,h
nyah1249,p,-,-,h,p,h,u,d,-,-,-,-,-,-,a,-,y,-,-,-
lave1248,-,-,-,7,m,-,e,d,-,-,-,-,-,-,a,-,y,-,-,-
tali1257,-,-,-,w,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-
alak1253,-,-,-,k,-,-,-,-,-,-,-,-,-,-,o,-,n,-,-,-
cuaa1241,-,-,-,k,-,-,-,-,-,-,-,-,-,-,3,y,7,-,-,-
hala1252,-,-,-,b,-,-,o,w,-,-,-,-,-,-,-,-,-,-,-,-
todr1244,-,-,-,k,-,-,a,7,w,w,-,-,-,-,e,-,y,-,-,-
katu1272,-,-,-,-,-,-,-,N,-,-,-,-,-,-,a,-,y,-,-,-
west2398,-,-,-,-,-,-,-,N,-,-,-,-,-,-,a,-,y,-,-,-
ngeq1245,-,-,-,-,-,-,-,N,-,-,-,-,-,-,a,-,y,-,-,-
trii1240,-,-,a,m,-,-,3,-,-,-,-,-,-,-,-,-,7,-,-,-
paco1243,-,-,-,m,-,-,3,n,-,-,-,-,-,-,a,-,w,-,-,-
nyah1250,-,-,-,7,-,-,3,5,-,-,-,-,-,-,a,-,h,-,-,-
sema1266,-,-,-,b,-,-,-,-,-,-,-,-,-,-,o,-,7,-,-,-
temi1246,-,-,-,T,-,-,-,t,-,s,-,-,-,-,o,-,7,-,-,-
jahh1242,-,-,-,T,-,-,-,t,-,s,-,i,7,n,o,-,7,-,-,-
kens1248,-,-,-,-,-,-,-,t,-,-,-,-,-,-,o,b,m,-,-,-
jeha1242,-,-,-,m,-,-,a,k,-,-,-,-,-,-,E,-,n,-,-,-
seme1247,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,d,-,e,-
sema1265,-,-,-,N,-,-,-,k,-,-,-,-,-,-,o,-,7,-,-,-
cent1989,k,h,k,h,-,-,3,n,-,-,-,-,-,-,a,-,o,-,-,-
nort2684,-,-,-,r,-,-,-,n,-,-,-,-,-,-,a,-,-,-,-,-
mlab1235,-,-,-,t,-,-,-,-,-,-,-,-,-,-,3,-,N,-,-,-
rucc1239,-,-,-,-,-,-,-,7,-,-,-,-,-,-,a,-,y,-,-,-
mali1278,u,-,-,t,-,-,-,t,-,-,-,-,-,-,e,-,h,-,-,-
aheu1239,-,-,-,-,-,-,-,n,-,-,-,-,-,-,3,-,-,-,-,-
viet1252,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,i,-,-,-
ruch1235,-,-,-,s,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
ruma1248,-,-,-,s,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
huuu1240,-,-,-,x,-,-,a,m,-,-,-,-,-,-,o,-,-,-,-,-
bitt1240,N,-,-,b,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
puoc1238,n,-,o,h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mang1378,-,-,-,7,-,-,a,t,-,S,-,-,-,-,o,-,-,-,-,-
nanc1247,-,-,-,T,h,-,-,t,-,s,h,i,-,-,i,-,-,-,-,-
carn1240,-,-,-,T,-,-,-,t,-,s,-,i,-,-,3,-,-,-,-,-
khar1287,-,-,-,b,-,-,-,-,-,-,-,-,-,-,e,-,r,-,-,-
juan1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,d,d,i,-
sant1410,-,-,-,T,-,-,-,t,-,s,-,-,-,-,e,-,l,-,e,-
mund1320,-,-,o,k,-,-,-,-,-,-,-,-,-,-,o,-,y,-,-,-
kork1243,-,-,-,-,-,-,-,d,-,Z,-,-,-,-,e,-,-,-,-,-
sora1254,-,-,-,b,-,o,o,t,-,-,-,-,-,-,e,-,-,-,-,-
pare1266,-,-,-,-,-,-,-,n,-,-,-,-,-,-,a,-,y,-,-,-
bond1245,-,-,-,d,-,-,-,Z,-,-,-,-,-,-,a,-,-,-,-,-
khas1269,-,-,-,-,-,-,u,-,-,-,-,-,-,-,e,-,i,-,-,-
buga1247,-,-,-,b,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-
