language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
sout2728,-,d,Z,-,-,-,3,-,-,-
nort2722,-,-,Z,-,-,-,3,-,-,-
guiq1238,-,-,k,-,-,-,o,-,-,-
maru1249,-,t,s,-,-,-,o,-,-,-
pela1242,-,t,-,-,-,-,a,-,-,-
zhab1238,-,t,s,-,-,-,o,-,-,-
lash1243,-,t,s,-,-,-,o,-,-,-
nucl1310,-,t,s,-,-,-,a,-,-,-
acha1249,-,-,-,-,-,-,3,-,-,n
nusu1239,-,-,Z,-,-,-,a,-,-,-
nusu1239,-,t,s,-,-,-,o,-,-,-
youl1235,-,t,s,-,-,-,o,-,-,-
rawa1265,-,-,-,-,-,-,3,-,-,m
drun1238,-,k,-,-,-,-,a,-,-,i
ersu1241,-,-,Z,-,-,-,3,-,-,-
lisu1250,-,-,Z,-,-,-,3,-,-,-
pumi1242,-,-,Z,-,-,-,3,-,-,-
pumi1242,-,-,Z,-,-,-,3,-,-,-
shix1238,-,-,Z,-,-,-,E,-,-,-
namu1246,-,-,Z,-,-,-,3,-,-,-
lich1241,-,n,Z,-,-,-,3,-,-,-
naxi1245,-,-,Z,-,-,-,3,-,-,-
khal1275,-,-,Z,-,-,-,o,-,-,-
dumi1241,-,-,Z,u,n,-,3,-,-,-
kulu1253,-,t,s,-,-,-,o,-,i,-
limb1266,-,t,s,-,-,-,a,m,a,7
yamp1242,-,t,s,-,-,-,a,-,-,s
sunw1242,-,-,Z,-,-,-,a,-,-,-
lepc1244,-,-,z,-,-,-,o,-,-,-
dhim1246,-,t,s,-,-,-,a,-,-,-
chep1245,-,-,Z,-,-,-,e,-,-,7
maga1261,-,-,Z,-,-,-,e,-,-,-
kony1248,-,-,z,-,-,-,a,-,-,-
amdo1237,-,-,s,-,-,-,E,-,-,-
amdo1237,-,-,s,-,-,-,a,-,-,-
tibe1272,-,-,s,-,-,-,a,-,-,-
tibe1272,-,-,z,-,-,-,a,-,-,-
kham1282,-,-,s,-,-,-,a,-,-,-
jire1238,-,-,s,-,-,-,e,-,-,-
sher1255,-,-,s,-,-,-,e,-,-,-
kaik1246,-,-,Z,-,-,-,a,-,-,-
dakp1242,-,-,z,-,-,-,a,-,-,-
nucl1729,-,t,s,-,-,-,a,-,-,-
thak1245,-,t,s,-,-,-,a,-,-,-
guru1261,-,t,s,-,-,-,a,-,-,-
bang1338,-,-,d,-,-,-,a,-,-,-
tagi1241,-,-,d,-,-,-,o,-,-,-
nyis1236,-,-,d,-,-,-,o,-,-,-
nisi1238,-,-,d,-,-,-,o,-,-,-
pada1257,-,-,d,-,-,-,o,-,-,-
bori1243,-,-,d,-,-,-,o,-,-,-
apat1240,-,-,d,-,-,-,3,-,-,-
tara1313,-,t,h,-,-,-,a,-,-,-
idum1241,-,-,h,-,-,-,a,-,-,-
quey1238,-,t,y,-,-,-,i,-,-,-
horp1239,-,N,-,-,-,-,3,-,-,-
sang1321,-,t,s,-,-,-,u,-,-,-
yimc1240,-,t,s,-,-,-,3,-,-,-
chon1286,a,t,s,-,h,-,i,-,-,-
mong1332,-,t,s,-,h,-,a,-,-,-
loth1237,-,t,s,-,-,-,o,-,-,-
poch1243,-,t,s,-,-,-,a,-,-,-
lush1249,-,-,-,-,-,-,e,-,i,-
hmar1241,-,-,f,-,-,-,a,-,-,-
haka1240,-,-,-,-,-,-,e,-,i,-
gang1266,-,-,n,-,-,-,e,-,-,-
tang1336,-,-,z,-,-,-,E,-,-,-
mani1292,-,t,s,-,h,-,a,-,-,-
maon1238,-,t,-,-,-,-,o,-,-,-
khez1235,-,t,-,-,-,-,o,-,-,-
chok1243,-,t,-,-,-,-,i,-,-,-
reng1255,-,t,-,-,-,-,e,-,-,-
zeme1240,-,t,-,-,-,-,e,-,u,-
lian1251,-,t,-,-,-,-,i,-,u,h
mara1379,-,t,-,-,-,-,u,-,-,-
kach1280,-,-,S,-,-,-,a,-,-,-
noct1238,-,t,s,-,h,-,a,-,-,-
wanc1238,-,-,s,-,-,-,a,-,-,-
phom1236,-,-,h,-,-,-,a,-,-,k
bodo1269,-,-,z,-,-,-,a,-,-,7
dima1251,-,-,Z,-,-,-,i,-,-,-
garo1247,-,t,s,-,a,-,a,-,-,-
rabh1238,-,-,s,-,a,-,a,-,-,-
akha1245,-,t,s,-,-,-,a,-,-,-
miji1239,-,t,s,-,-,-,u,-,-,h
sher1257,-,t,s,-,h,-,u,-,-,-
bugu1246,-,t,s,-,h,i,a,-,-,-
manu1255,-,-,7,-,-,-,a,-,-,-
yint1235,-,-,7,-,-,-,a,-,-,N
west2409,-,-,-,-,-,-,e,-,-,-
kaya1317,-,-,7,-,-,-,a,-,-,n
yinb1236,-,-,7,-,-,-,a,-,-,-
geko1235,-,-,7,-,-,-,E,-,-,7
paok1235,-,-,7,-,-,-,a,-,-,m
geba1237,-,-,7,-,-,-,a,-,-,7
sgaw1245,-,-,7,-,-,-,o,-,-,7
mand1415,-,t,s,-,h,-,i,-,-,-
hakk1236,-,-,s,-,-,-,i,-,-,-
mind1253,-,-,s,-,i,-,e,-,-,k
oldc1244,-,-,l,-,-,-,3,-,-,k
jian1239,-,-,y,-,-,-,3,-,-,-
nort2732,-,-,k,-,-,-,a,-,-,-
