language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
sout2728,-,-,-,-,-,-,-,-,-,-,X,u,e,-,-,X,-,u,-,-,-,-,-,-,e,-,-
nort2722,-,-,-,-,-,-,-,-,-,-,Z,-,a,n,-,k,-,u,-,-,-,-,-,-,-,-,-
guiq1238,-,-,-,-,-,n,-,-,-,-,y,-,i,n,-,t,s,3,-,-,-,-,-,-,-,-,-
maru1249,-,-,-,-,-,N,-,-,-,-,y,-,-,-,-,-,-,u,-,k,-,-,-,-,-,-,-
pela1242,-,-,-,-,-,N,-,-,-,-,y,-,-,-,-,-,-,u,-,N,-,-,-,-,-,-,-
zhab1238,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,u,-,i,-,-,-,-,-,-,-
lash1243,-,-,-,-,-,N,-,-,-,-,y,-,a,-,-,-,-,u,-,-,-,-,-,-,-,-,-
nucl1310,-,-,-,-,-,t,-,-,-,-,s,-,-,-,-,-,-,i,-,m,-,-,-,-,-,-,-
acha1249,-,-,-,-,-,n,-,-,-,-,y,-,a,-,-,-,-,u,-,-,-,-,-,-,-,-,-
nusu1239,-,-,-,-,-,n,-,-,-,-,y,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
nusu1239,-,-,-,-,-,n,-,-,-,-,y,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-
youl1235,-,-,a,-,-,n,-,-,-,-,y,-,u,-,-,l,-,u,-,-,-,-,-,-,-,-,-
rawa1265,m,-,3,S,i,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
drun1238,p,-,3,S,i,N,-,-,-,-,S,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
ersu1241,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,-,i,-,z,-,-,-,-,a,-,-
lisu1250,-,-,-,-,-,n,-,-,-,-,y,-,-,-,-,-,-,i,-,s,-,-,-,-,a,N,s
pumi1242,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
pumi1242,-,-,-,-,-,n,-,-,-,-,y,-,-,-,-,-,-,i,-,m,-,-,-,-,3,-,-
namu1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,u,-,-
lich1241,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,3,-,r,-,-,-,-,-,-,-
naxi1245,-,-,-,-,-,-,-,-,-,-,X,-,-,-,-,-,-,3,-,r,-,-,-,-,-,-,-
