language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
kach1280,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-
noct1238,-,-,-,-,-,-,k,-,-,-,h,-,-,-,-,-,-,e,-,-,-,-,-
phom1236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-
bodo1269,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,u,-,-,-,-,-
dima1251,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,u,-,-,-,-,-
garo1247,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,-,-,-,-,a
rabh1238,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,u,-,-,-,k,a
sher1257,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,n,-
bugu1246,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,k,-
naxi1245,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-,-,-,-
namu1246,-,-,-,-,-,-,n,-,-,-,d,-,-,-,-,-,-,o,-,-,-,-,-
shix1238,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-,-,-,-
ersu1241,-,-,-,-,-,-,n,-,-,-,d,-,-,-,-,-,-,o,-,-,-,-,-
lisu1250,k,-,h,-,o,-,n,-,-,-,d,-,-,u,-,-,-,o,-,-,-,-,-
sout2728,-,-,-,-,-,-,-,-,-,-,t,s,y,i,-,-,-,-,-,-,-,-,-
nort2722,k,-,-,-,u,-,3,-,-,-,t,-,-,i,-,-,-,u,-,-,-,-,-
guiq1238,-,-,-,-,-,-,-,-,-,-,t,s,y,i,t,s,y,o,-,-,-,-,-
maru1249,-,-,-,-,-,-,m,-,-,-,y,-,-,-,-,-,-,o,-,-,-,-,-
pela1242,-,-,-,-,-,-,m,-,-,-,y,-,-,-,-,-,-,o,-,-,-,-,-
zhab1238,-,-,-,-,-,-,m,-,-,-,y,-,-,-,-,-,-,a,-,-,-,N,-
lash1243,-,-,-,-,-,-,m,-,-,-,y,-,-,-,-,-,-,a,-,-,-,N,-
nucl1310,-,-,-,-,-,-,m,-,-,-,r,-,-,-,-,-,-,a,-,-,-,N,-
acha1249,-,-,-,-,e,n,m,-,-,-,Z,-,-,-,-,-,-,a,-,-,-,N,-
nusu1239,-,-,-,-,-,-,v,-,-,-,r,-,-,-,-,-,-,o,-,-,-,N,-
nusu1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,a
youl1235,-,-,-,-,-,-,m,-,-,-,y,-,-,-,-,-,-,3,-,-,-,-,-
rawa1265,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,a,-,-,-,N,-
drun1238,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,-,-,a,-,-,-,N,-
khal1275,-,-,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,o,-,-,-,-,-
khal1275,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,e,-,-,-,i,-
kulu1253,-,-,-,-,-,-,k,-,-,-,h,-,-,-,-,-,-,o,-,-,-,-,-
limb1266,-,-,-,-,-,-,-,-,-,-,n,-,-,i,-,-,m,a,-,-,-,7,-
yamp1242,-,-,-,-,-,-,k,-,-,-,h,-,-,-,-,-,-,a,-,-,-,k,s
sunw1242,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-
lepc1244,-,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,i,-,-,-,-,-
lepc1244,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,a,-,-,-,k,-
dhim1246,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,i,-,-,-,N,-
amdo1237,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,i,-,-,-,k,-
amdo1237,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,X,-
tibe1272,-,-,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,o,-,-,-,N,-
tibe1272,m,-,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,o,-,-,-,N,-
kham1282,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,i,-,-,-,7,-
jire1238,-,-,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,o,-,-,-,N,-
sher1255,-,-,-,-,-,-,l,-,-,-,h,-,-,-,-,-,-,e,-,-,-,-,-
kaik1246,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,a,-,-,-,N,-
dakp1242,-,-,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,o,-,-,-,N,-
guru1261,-,-,-,-,-,-,m,-,-,-,r,-,-,-,-,-,-,o,-,-,-,-,-
thak1245,-,-,-,-,-,-,m,-,-,-,r,-,-,-,-,-,-,E,-,-,-,N,-
chep1245,-,-,-,-,-,-,t,-,-,-,s,-,-,y,-,-,-,3,-,-,w,7,-
kony1248,-,-,-,-,-,-,k,-,-,-,h,-,-,i,-,-,-,a,-,-,-,-,-
nyis1236,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-
nisi1238,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-
tagi1241,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-
bori1243,-,-,-,-,-,-,-,-,-,-,k,-,-,o,N,-,p,o,-,-,-,N,-
apat1240,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,-,-
tara1313,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,t,i,3,N,-
idum1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,t,h,u,N,-
quey1238,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,u,-,-,-,-,-
horp1239,-,-,-,-,-,-,x,-,-,-,d,-,-,-,-,-,-,u,-,-,-,-,-
sang1321,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,u,-,-,-,-,-
yimc1240,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,3,-,-,-,-,-
yimc1240,-,-,-,-,-,-,-,-,-,-,k,h,-,i,-,-,-,a,-,-,-,-,-
loth1237,-,-,-,-,-,-,-,-,-,-,m,h,-,-,-,-,-,3,-,-,-,N,-
poch1243,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,o,-,-,-,-,-
lush1249,-,-,-,-,-,-,h,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-
hmar1241,-,-,-,-,-,-,h,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-
haka1240,-,-,-,-,-,-,h,-,-,-,m,-,-,-,-,-,-,u,-,-,-,h,-
gang1266,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,u,-,-,-,-,-
tang1336,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,a,N,-
mani1292,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
maon1238,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,e,-,-,-,-,-
khez1235,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,u,-,-,-,-,-
chok1243,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,e,-,-,-,-,-
reng1255,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,u,-,-,-,-,-
zeme1240,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,a,-,-,-,u,-
lian1251,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,o,-,-,-,u,-
mara1379,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,o,-,-,-,-,-
yinb1236,-,-,-,-,-,-,w,a,-,S,h,-,-,-,-,-,-,e,-,-,-,-,-
geko1235,-,-,-,-,-,-,7,3,o,s,h,-,-,x,-,-,-,3,-,-,-,-,-
paok1235,-,-,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,i,-,-,-,-,-
manu1255,-,-,-,-,-,-,k,3,-,S,h,-,-,-,-,-,-,i,-,-,-,-,-
yint1235,m,-,-,-,o,-,t,-,-,-,h,-,-,-,-,-,-,E,-,-,-,-,-
west2409,m,-,-,i,a,-,t,-,-,-,h,-,-,i,-,-,-,e,-,-,-,-,-
geba1237,7,3,s,y,a,-,t,-,-,-,S,-,-,-,-,-,-,i,-,-,-,-,-
sgaw1245,-,-,-,-,-,-,t,-,-,-,h,-,-,-,-,-,-,i,-,-,-,7,-
akha1245,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,o,-,-,-,-,-
nort2732,-,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-
mand1415,-,-,-,-,-,-,-,-,-,-,Z,y,-,i,-,-,-,a,-,-,-,n,-
mand1415,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,-,n,-
hakk1236,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,n,-
mind1253,-,-,-,-,-,-,-,-,-,-,k,h,-,-,-,-,-,a,-,-,-,N,-
