language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
sout2728,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,3,-,-,-,-,-,-,-
nort2722,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,3,-,-,-,-,-,-,-
guiq1238,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,o,-,-,-,-,-,-,-
maru1249,-,-,-,-,-,-,-,-,t,-,-,-,s,-,-,3,-,-,N,-,-,-,-
pela1242,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,E,-,-,-,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,t,-,-,-,s,-,-,a,-,-,n,-,-,-,-
zhab1238,-,-,-,-,-,-,-,-,a,-,-,-,s,-,-,a,-,-,k,-,-,-,-
lash1243,-,-,-,-,-,-,-,-,t,-,-,-,s,-,-,a,-,-,n,-,-,-,-
nucl1310,-,-,h,n,-,a,-,-,t,-,-,-,s,-,-,-,-,-,-,-,-,-,-
acha1249,-,-,-,-,-,-,-,-,n,-,-,-,h,-,-,3,-,-,k,-,-,-,-
nusu1239,-,-,-,-,-,-,-,-,k,-,-,-,h,r,i,u,-,-,-,-,-,-,-
nusu1239,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,a,-,-,-,-,-,-,-
youl1235,-,-,-,-,-,a,-,-,m,-,-,-,h,y,-,o,-,-,-,-,-,-,-
rawa1265,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,-,-,N,-,-,-,-
drun1238,-,-,-,-,-,a,N,-,n,-,-,-,-,-,-,i,-,-,N,-,-,-,-
ersu1241,-,-,b,-,-,u,t,S,h,-,-,-,-,-,-,E,-,-,-,-,-,-,-
lisu1250,-,-,Z,-,-,u,t,S,h,-,-,-,-,-,-,3,-,-,-,-,-,-,-
pumi1242,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-,-,-
pumi1242,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,o,-,-,-,-,-,-,-
shix1238,-,-,-,-,-,-,-,-,q,-,-,-,h,-,-,a,-,-,-,-,-,-,-
namu1246,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,3,-,-,r,-,-,-,-
lich1241,-,-,-,-,-,-,-,-,k,-,-,-,h,-,-,v,-,-,-,-,-,-,-
naxi1245,-,-,-,-,-,-,-,-,k,-,-,-,h,-,-,v,-,-,-,-,-,-,-
dumi1241,k,-,h,-,-,o,-,-,7,-,-,-,-,-,-,o,-,-,-,-,-,-,-
kulu1253,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-,-
limb1266,-,-,-,-,-,-,-,-,t,o,-,-,b,-,-,e,-,-,-,-,-,-,-
yamp1242,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,i,-,-,N,-,-,-,-
lepc1244,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,a,-,-,m,-,-,-,-
kony1248,-,-,-,-,-,-,-,-,b,o,-,-,S,-,-,o,-,-,N,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
tibe1272,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
tibe1272,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
kham1282,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
jire1238,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
sher1255,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
dakp1242,-,-,-,-,-,-,-,-,n,-,-,-,y,-,-,i,-,-,N,-,-,-,-
nucl1729,-,-,p,-,-,a,-,-,r,-,-,-,s,-,-,a,-,-,-,-,-,-,-
thak1245,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
guru1261,-,-,b,-,-,-,-,-,r,a,-,-,s,-,-,a,-,-,-,-,-,-,-
bang1338,-,-,-,-,-,a,-,-,n,-,-,-,y,-,-,a,-,-,N,-,-,-,-
tagi1241,-,-,-,-,-,a,-,-,n,-,-,-,i,-,-,-,-,-,N,-,-,-,-
nyis1236,-,-,-,-,-,e,-,-,n,-,-,-,y,-,-,e,-,-,-,-,-,-,-
nisi1238,-,-,-,-,-,3,-,-,n,-,-,-,y,-,-,i,-,-,-,-,-,-,-
pada1257,-,-,d,-,-,3,-,-,t,-,-,-,-,-,-,a,-,-,k,-,-,-,-
bori1243,-,-,-,-,-,-,-,-,n,-,-,-,y,-,-,i,-,-,N,-,-,-,-
apat1240,-,-,-,-,-,a,-,-,n,-,-,-,y,-,-,a,-,-,N,-,-,-,-
tara1313,-,-,k,-,-,3,-,-,n,-,-,-,-,-,-,3,-,-,N,-,-,-,-
idum1241,-,-,-,-,-,i,-,-,n,-,-,-,-,-,-,u,-,-,-,-,-,-,-
quey1238,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,u,-,-,3,-,-,-,-
horp1239,-,-,-,-,-,-,-,-,k,-,-,-,v,-,-,o,-,-,-,-,-,-,-
sang1321,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,N,-,-,-,-
yimc1240,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,a,-,-,m,-,-,-,-
chon1286,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,3,-,-,m,-,-,-,-
mong1332,-,-,-,-,-,a,-,-,k,-,-,-,-,-,-,a,-,-,m,-,-,-,-
loth1237,-,-,-,-,-,n,-,-,z,-,-,-,3,-,-,a,-,-,-,-,-,-,-
poch1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,m,-,a,v,i
