language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
kuii1254,b,u,t,-,u,-,-,r,-,-,-,-,-,-
kelo1247,-,i,q,-,i,-,-,l,-,-,i,n,-,-
abui1241,f,i,k,-,e,-,-,-,-,-,i,-,-,-
adan1251,l,E,7,-,i,-,-,l,-,-,i,N,-,-
teiw1235,-,-,t,-,a,-,-,r,e,X,e,n,-,-
kaer1234,-,-,-,-,i,-,-,r,i,k,i,N,-,-
nede1245,-,-,m,-,u,-,-,r,-,-,-,-,-,-
blag1240,-,-,k,-,3,-,-,r,e,-,-,-,-,-
lamm1241,-,-,k,-,a,-,-,r,e,-,-,-,-,-
wers1238,-,-,k,-,u,-,-,s,-,-,i,N,-,-
sawi1256,-,-,k,l,a,N,-,l,-,-,a,N,u,r
kama1365,-,-,k,-,a,k,i,s,-,-,i,N,-,-
