language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
kuii1254,-,-,-,-,-,-,b,-,l,e,-,-,-,-,-,-,k,i,n
kelo1247,-,-,-,-,-,-,m,e,d,e,-,-,-,-,-,-,k,-,-
abui1241,-,-,a,-,-,-,h,a,l,a,-,-,-,-,-,-,-,i,-
teiw1235,k,i,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kaer1234,k,i,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nede1245,-,-,i,l,t,a,m,a,-,-,-,7,-,-,-,a,w,-,-
blag1240,b,i,-,l,-,-,m,3,l,e,y,l,-,-,-,a,k,-,-
lamm1241,-,i,-,r,-,-,m,i,-,-,-,7,-,-,-,a,r,-,-
wers1238,-,-,-,-,-,-,m,e,k,-,-,-,-,-,-,e,-,-,-
sawi1256,-,-,-,-,-,-,m,i,l,-,-,-,-,-,-,a,N,-,-
kama1365,-,-,-,-,-,-,d,e,l,i,-,N,w,o,b,i,k,a,-
