language,x1,x2,x3,x4,x5
piem1238,t,i,-,t,S
piem1238,t,i,y,t,-
piem1238,t,i,-,t,-
piem1238,t,i,-,t,-
roma1328,t,o,-,t,-
emil1241,t,o,-,t,-
emil1241,t,u,-,t,-
emil1241,t,u,-,t,-
vene1258,t,u,-,t,o
vene1258,t,u,-,t,-
vene1258,t,u,-,t,o
ital1282,t,u,-,t,o
ital1282,t,u,-,t,o
ligu1248,t,i,-,t,u
ligu1248,t,i,-,t,u
neap1235,t,u,-,t,3
sici1248,t,u,-,t,u
sici1248,t,u,-,t,u
sici1248,t,u,-,t,u
friu1240,d,u,-,t,-
stan1289,t,o,-,t,-
stan1289,t,o,-,t,-
stan1289,t,o,-,t,-
stan1289,t,o,-,t,-
stan1289,t,o,-,t,-
stan1289,t,o,-,t,-
camp1261,t,o,-,t,u
megl1237,t,o,-,t,-
arom1237,t,u,-,t,u
roma1327,t,o,-,t,-
istr1245,t,o,-,t,-
