language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
gard1241,-,u,-,r,3,-,-,d,l,a
fass1244,-,u,-,r,e,-,-,-,y,a
friu1240,-,o,-,r,E,-,-,-,l,e
piem1238,-,u,-,r,E,-,-,d,Z,a
piem1238,-,u,-,r,i,-,-,-,y,a
piem1238,-,u,-,r,i,-,-,-,y,a
piem1238,-,u,-,r,i,-,-,-,y,a
roma1328,-,u,-,r,E,-,-,t,S,a
emil1241,-,u,-,r,E,-,-,t,S,a
emil1241,-,u,-,r,E,-,-,t,S,a
emil1241,-,u,-,r,E,-,-,t,S,a
vene1258,-,-,-,r,e,-,-,t,S,a
vene1258,-,-,-,r,e,-,-,t,S,a
vene1258,-,-,-,r,E,-,-,t,S,a
ital1282,-,o,-,r,e,-,-,k,y,o
ital1282,-,o,-,r,e,-,-,k,y,o
ligu1248,-,w,-,-,E,-,-,d,Z,a
ligu1248,a,w,-,-,e,-,-,d,Z,e
geno1240,-,w,-,-,E,-,-,d,Z,a
sici1248,-,a,w,r,i,-,-,t,S,a
sici1248,-,a,-,r,i,-,-,k,y,u
sici1248,-,a,-,r,i,-,-,k,y,u
mess1247,-,-,-,r,i,-,-,k,-,3
neap1235,-,-,-,r,e,-,-,k,y,3
stan1289,-,o,-,r,e,-,-,-,L,a
stan1289,-,o,-,r,e,-,-,-,L,a
stan1289,-,o,-,r,e,-,-,-,L,a
stan1289,-,u,-,r,E,-,-,-,-,3
stan1289,a,w,-,r,e,-,-,-,L,E
stan1289,-,u,-,r,E,-,-,-,L,3
cast1244,-,o,-,r,e,-,-,-,x,a
ruma1247,-,u,-,r,e,-,-,-,L,3
surs1244,-,u,-,r,e,-,-,-,L,3
lowe1386,-,u,-,r,a,-,-,-,L,3
surm1243,-,u,-,r,e,-,-,-,y,3
prov1235,a,w,-,r,i,-,-,-,-,o
dalm1243,-,o,-,r,a,-,-,k,l,a
barb1262,-,o,-,r,i,-,-,k,r,a
camp1261,-,o,-,r,i,-,-,-,x,a
megl1237,-,u,-,r,e,-,a,k,L,3
arom1237,-,u,-,r,e,v,a,k,L,e
roma1327,-,u,-,r,e,-,-,k,-,e
istr1245,-,u,-,r,E,-,-,k,L,e
