language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
piem1238,-,z,-,n,-,E,-,t,S,-
piem1238,d,Z,i,n,-,u,-,-,y,-
piem1238,d,Z,i,n,-,u,-,-,y,-
piem1238,d,Z,i,n,-,u,-,-,y,-
roma1328,d,z,-,n,-,o,-,t,S,-
emil1241,d,z,-,n,-,o,-,t,S,-
emil1241,-,z,-,n,-,o,-,t,S,-
emil1241,d,z,-,n,-,o,-,t,S,-
vene1258,d,e,-,n,-,o,-,t,S,o
vene1258,d,e,-,n,-,o,-,t,S,o
vene1258,z,e,-,n,-,o,-,t,S,o
ital1282,d,Z,i,n,-,o,-,k,y,o
ital1282,d,Z,i,n,-,o,-,k,y,o
ligu1248,d,z,e,n,-,u,-,d,Z,u
ligu1248,-,z,e,n,-,u,-,d,Z,u
neap1235,d,-,3,n,-,u,-,k,y,3
sici1248,r,-,i,n,w,o,-,t,S,u
sici1248,d,Z,i,n,-,o,-,k,y,u
sici1248,r,-,i,n,w,o,-,k,y,u
friu1240,d,Z,e,n,-,o,-,-,l,i
stan1289,t,S,i,n,-,o,-,-,L,-
stan1289,t,S,i,n,-,o,-,-,L,-
stan1289,d,Z,i,n,-,o,-,-,L,-
stan1289,-,Z,u,n,-,o,-,-,y,-
stan1289,-,Z,i,n,-,o,-,-,L,-
stan1289,-,Z,3,n,-,o,-,-,L,-
camp1261,-,Z,e,n,-,u,-,-,x,u
megl1237,-,z,i,n,-,u,-,k,L,u
arom1237,d,z,i,n,-,u,-,k,L,u
roma1327,d,Z,e,n,-,u,N,k,y,-
istr1245,-,Z,e,r,-,u,N,k,L,u
