language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
gard1241,p,-,-,-,o,d,l,-,-,-
fass1244,p,-,-,-,o,-,y,e,-,-
friu1240,p,e,d,-,o,-,l,i,-,-
piem1238,p,-,-,-,-,-,y,E,t,S
piem1238,p,-,-,-,u,-,y,-,-,-
piem1238,p,-,-,-,u,-,y,-,-,-
piem1238,p,-,-,-,u,-,y,-,-,-
roma1328,b,-,d,-,o,t,S,-,-,-
emil1241,p,-,y,-,o,t,S,-,-,-
emil1241,p,-,y,-,o,t,S,-,-,-
emil1241,v,-,d,-,o,t,S,-,-,-
vene1258,p,e,d,-,o,t,S,o,-,-
vene1258,p,e,d,-,o,t,S,o,-,-
vene1258,p,e,-,-,o,t,S,o,-,-
ital1282,p,i,d,-,o,k,y,o,-,-
ital1282,p,i,d,-,o,k,y,o,-,-
ligu1248,p,y,-,-,E,d,Z,u,-,-
ligu1248,p,i,g,-,E,d,Z,u,-,-
geno1240,p,i,g,-,E,d,Z,u,-,-
sici1248,p,-,r,-,u,t,S,u,-,-
sici1248,p,i,r,-,o,k,y,u,-,-
sici1248,p,i,r,w,o,k,y,u,-,-
mess1247,p,i,r,-,o,k,y,u,-,-
neap1235,p,3,r,-,u,k,y,3,-,-
stan1289,p,-,-,-,o,-,L,-,-,-
stan1289,p,-,-,-,o,-,L,-,-,-
stan1289,p,-,-,-,o,-,L,-,-,-
stan1289,p,-,-,-,o,-,y,-,-,-
stan1289,p,-,-,-,o,-,L,-,-,-
stan1289,p,-,-,-,o,-,L,-,-,-
cast1244,p,-,y,-,o,-,x,o,-,-
ruma1247,p,-,l,-,u,-,L,-,-,-
surs1244,p,-,l,-,u,-,L,-,-,-
lowe1386,p,-,l,w,o,-,L,-,-,-
surm1243,p,-,l,-,u,-,L,-,-,-
prov1235,p,-,-,-,e,-,z,u,-,-
dalm1243,p,e,d,-,o,k,l,o,-,-
barb1262,p,-,r,e,u,-,k,u,-,-
camp1261,p,-,r,i,o,-,x,u,-,-
megl1237,p,i,d,-,u,k,L,u,-,-
arom1237,p,i,d,-,u,k,L,u,-,-
roma1327,p,3,d,-,u,k,-,e,-,-
istr1245,p,e,d,-,u,k,L,u,-,-
