language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
gard1241,-,u,-,-,-,d,-,3,-,y,-
fass1244,-,v,-,e,-,d,-,e,-,r,-
friu1240,-,v,y,o,-,d,-,i,-,-,-
piem1238,-,v,-,E,-,g,-,i,-,-,-
piem1238,-,v,-,3,-,d,-,e,-,-,-
piem1238,-,v,-,3,-,d,-,e,-,-,-
piem1238,-,v,-,3,-,d,-,i,-,-,-
roma1328,-,v,-,-,-,d,-,e,-,-,-
emil1241,-,v,-,E,-,d,-,e,-,r,-
emil1241,-,v,-,E,-,d,-,e,-,r,-
emil1241,-,v,-,E,-,d,-,a,-,r,-
vene1258,-,v,-,e,-,8,-,e,-,r,-
vene1258,-,v,-,e,-,8,-,e,-,r,-
vene1258,-,v,-,E,-,d,-,e,-,r,-
ital1282,-,v,-,e,-,d,-,e,-,r,e
ital1282,-,v,-,e,-,d,-,e,-,r,e
ligu1248,-,v,-,-,-,y,-,E,-,y,-
ligu1248,-,v,-,e,-,d,-,e,-,-,-
geno1240,-,v,-,e,-,d,-,e,-,-,-
sici1248,-,v,-,i,-,Z,-,-,-,-,i
sici1248,-,v,-,i,-,d,-,i,-,r,i
sici1248,-,v,-,i,-,r,-,i,-,r,i
mess1247,-,v,-,i,-,d,-,3,-,r,3
neap1235,-,v,-,3,-,r,-,-,-,-,E
stan1289,-,v,-,o,-,r,-,e,-,-,-
stan1289,-,v,-,o,-,r,-,e,-,-,-
stan1289,-,v,-,E,w,r,-,e,-,-,-
stan1289,-,v,-,E,w,r,-,3,-,-,-
stan1289,-,b,-,E,w,r,-,e,-,-,-
stan1289,-,b,-,E,w,r,-,3,-,-,-
cast1244,-,b,-,e,-,r,-,-,-,-,-
ruma1247,-,v,-,3,-,z,-,a,y,r,-
surs1244,-,v,-,3,-,z,-,e,-,r,-
lowe1386,-,v,-,3,-,t,s,e,-,r,-
surm1243,-,v,-,E,-,k,-,-,-,r,-
prov1235,-,v,-,E,y,r,-,e,-,-,-
dalm1243,-,v,-,e,-,d,-,a,-,r,-
barb1262,-,b,i,e,-,r,-,e,-,-,-
camp1261,-,b,-,i,-,r,-,i,-,-,-
megl1237,-,v,-,e,-,t,-,-,-,-,-
arom1237,-,v,-,e,-,d,-,u,-,-,-
roma1327,a,v,-,e,-,d,-,e,-,v,a
istr1245,-,v,-,e,-,d,-,E,-,-,-
