language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
gard1241,-,s,u,m,-,3,-,n,t,s,a
fass1244,-,s,3,m,-,e,-,n,t,s,a
friu1240,-,s,e,m,-,E,-,n,t,S,e
piem1238,-,s,a,m,-,-,-,n,-,E,-
piem1238,-,s,-,m,-,e,-,n,-,z,-
piem1238,-,s,-,m,-,E,-,n,-,s,-
piem1238,-,s,-,m,-,E,-,n,-,s,-
roma1328,-,s,-,m,-,e,-,n,t,a,-
emil1241,-,s,-,m,-,E,y,n,-,s,a
emil1241,-,s,e,m,-,E,y,n,-,s,a
emil1241,-,s,-,m,-,E,-,n,-,t,-
vene1258,-,s,e,m,-,E,-,N,-,8,a
vene1258,-,s,e,m,-,-,-,-,-,-,-
vene1258,-,s,e,m,-,e,-,-,-,-,-
ital1282,-,s,e,m,-,e,-,-,-,-,-
ital1282,-,s,e,m,-,e,-,-,-,-,-
ligu1248,-,s,e,m,-,E,-,N,t,s,a
ligu1248,-,s,e,m,-,i,-,-,-,-,-
geno1240,-,s,e,m,-,e,-,-,-,-,-
sici1248,-,s,i,m,-,E,-,n,t,s,a
sici1248,-,s,i,m,-,E,-,n,t,s,a
sici1248,-,s,i,m,y,E,-,n,t,s,a
mess1247,-,s,i,m,-,E,-,n,t,s,a
neap1235,-,s,3,m,-,E,-,n,t,-,3
stan1289,-,L,a,b,-,o,-,-,-,r,-
stan1289,-,L,a,b,-,o,-,-,-,r,-
stan1289,-,L,a,v,-,o,-,-,-,r,-
stan1289,-,L,3,v,-,o,-,-,-,-,-
stan1289,-,L,a,b,-,o,-,-,-,-,-
stan1289,-,L,3,b,-,o,-,-,-,-,-
cast1244,-,s,e,m,-,i,-,-,-,L,a
ruma1247,-,s,e,m,-,-,-,-,-,-,-
surs1244,-,s,e,m,-,-,-,-,-,-,-
lowe1386,-,s,e,m,-,-,-,-,-,-,-
surm1243,-,s,e,m,-,-,-,-,-,-,-
prov1235,g,r,a,-,-,-,-,n,-,-,o
dalm1243,-,s,e,m,y,a,-,n,t,s,-
barb1262,-,s,e,m,-,e,-,n,-,-,e
camp1261,-,s,E,m,-,i,-,n,-,-,i
megl1237,-,s,i,m,-,i,-,n,t,s,3
arom1237,-,s,i,m,-,i,-,n,t,s,3
roma1327,-,s,3,m,-,3,-,n,t,s,3
istr1245,-,s,e,m,-,i,-,n,t,s,E
