language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
gard1241,-,d,-,u,r,-,m,i,-,-,-
fass1244,-,d,-,o,r,-,m,i,-,r,-
friu1240,-,d,-,u,r,-,m,i,-,-,-
piem1238,-,d,-,o,r,-,m,i,-,-,-
piem1238,-,d,-,E,r,-,m,e,-,-,-
piem1238,-,d,-,E,r,-,m,e,-,-,-
piem1238,-,d,-,E,r,-,m,e,-,-,-
roma1328,-,d,-,u,r,-,m,i,-,-,-
emil1241,-,d,-,u,r,-,m,i,-,r,-
emil1241,-,d,-,u,r,-,m,i,-,r,-
emil1241,-,d,-,u,r,-,m,i,-,r,-
vene1258,-,d,-,o,r,-,m,i,-,r,-
vene1258,-,d,-,-,r,o,m,i,-,r,-
vene1258,-,d,-,o,r,-,m,i,-,r,-
ital1282,-,d,-,o,r,-,m,i,-,r,e
ital1282,-,d,-,o,r,-,m,i,-,r,e
ligu1248,-,d,-,u,r,-,m,i,-,-,-
ligu1248,-,d,-,u,r,-,m,i,-,-,-
geno1240,-,d,-,u,r,-,m,i,-,-,-
sici1248,-,r,-,o,r,-,m,i,-,r,i
sici1248,-,d,-,o,r,-,m,i,-,r,i
sici1248,-,r,w,o,r,-,m,i,-,r,i
mess1247,-,d,-,o,-,-,m,3,-,r,3
neap1235,-,d,-,u,r,-,m,i,-,-,-
stan1289,-,d,-,o,r,-,m,i,-,r,-
stan1289,-,d,-,o,r,-,m,e,-,r,-
stan1289,-,d,-,o,r,-,m,i,-,r,-
stan1289,-,d,-,u,r,-,m,i,-,-,-
stan1289,-,d,-,o,r,-,m,i,-,-,-
stan1289,-,d,-,u,r,-,m,i,-,-,-
cast1244,-,d,-,o,r,-,m,i,-,r,-
ruma1247,-,d,-,u,r,-,m,i,-,r,-
surs1244,-,d,-,u,r,-,m,i,-,r,-
lowe1386,-,d,-,u,r,-,m,i,-,r,-
surm1243,-,d,-,u,r,-,m,E,k,r,-
prov1235,-,d,-,u,r,-,m,i,-,-,-
dalm1243,-,d,-,o,r,-,m,a,-,r,-
barb1262,-,d,-,-,r,o,m,i,-,r,e
camp1261,-,d,-,-,r,o,m,i,-,r,i
megl1237,-,d,-,o,r,-,m,-,-,-,-
arom1237,-,d,-,o,r,-,m,u,-,-,-
roma1327,a,d,-,o,r,-,m,i,-,-,-
istr1245,-,d,-,u,r,-,m,i,-,-,-
