language,x1,x2,x3,x4,x5,x6,x7
gard1241,-,t,-,S,3,-,-
fass1244,-,k,-,-,e,p,a
friu1240,-,t,-,S,e,-,-
piem1238,-,k,-,w,E,-,-
piem1238,-,k,o,z,a,-,-
piem1238,-,k,o,z,a,-,-
piem1238,-,k,o,z,a,-,-
roma1328,-,k,-,-,e,-,-
emil1241,-,k,-,s,a,-,-
emil1241,-,k,u,z,a,-,-
emil1241,-,k,u,z,a,-,-
vene1258,-,k,-,-,e,-,-
vene1258,-,k,-,-,e,-,-
vene1258,-,k,o,s,a,-,-
ital1282,-,k,-,-,e,-,-
ital1282,-,k,-,-,e,-,-
ligu1248,-,k,o,s,e,-,-
ligu1248,-,k,o,s,e,-,-
geno1240,-,k,o,s,e,-,-
sici1248,-,k,-,-,i,-,-
sici1248,-,k,-,-,i,-,-
sici1248,-,k,-,-,i,-,-
mess1247,-,k,-,-,i,-,-
neap1235,-,k,-,-,3,-,-
stan1289,-,k,-,-,e,-,-
stan1289,-,k,-,-,e,-,-
stan1289,-,k,-,-,e,-,-
stan1289,-,k,-,-,E,-,-
stan1289,-,k,-,-,e,-,-
stan1289,-,k,-,-,E,-,-
cast1244,-,k,-,-,e,-,-
ruma1247,-,t,-,S,e,-,-
surs1244,-,t,-,S,e,y,-
lowe1386,-,t,-,S,e,-,-
surm1243,-,t,-,y,e,-,-
prov1235,-,k,-,-,e,-,-
dalm1243,-,k,-,-,o,s,-
barb1262,i,t,-,-,e,-,-
camp1261,i,t,-,-,a,-,-
megl1237,-,t,-,s,e,-,-
arom1237,-,t,-,s,e,-,-
roma1327,-,t,-,S,e,-,-
istr1245,-,t,-,S,e,-,-
