language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
gard1241,-,-,-,-,-,y,-,3,-,r,-,m,-,-,-,-
fass1244,-,-,-,-,-,v,-,e,-,r,-,m,-,-,-,-
friu1240,-,-,-,-,-,v,y,E,-,r,-,-,-,-,-,-
piem1238,-,-,-,-,-,v,-,E,-,r,-,m,-,-,-,-
piem1238,-,-,-,-,-,v,-,E,-,r,-,m,-,-,-,-
piem1238,-,-,-,-,-,v,-,E,-,r,-,m,-,-,-,-
piem1238,-,-,-,-,-,v,-,E,-,r,-,m,-,-,-,-
roma1328,-,-,-,-,-,v,-,e,-,r,-,m,-,-,a,n
emil1241,-,-,-,-,-,b,-,E,y,g,-,-,-,-,-,-
emil1241,-,-,-,-,-,b,-,e,-,g,-,-,-,-,-,-
emil1241,-,-,-,-,-,v,-,E,-,r,-,m,-,-,-,-
vene1258,-,-,-,-,-,b,-,u,-,t,-,-,-,-,-,-
vene1258,-,-,-,-,-,v,-,E,-,r,-,m,-,-,e,n
vene1258,-,-,-,-,-,v,-,E,-,r,-,m,-,-,e,-
ital1282,-,-,-,-,-,b,-,a,-,k,-,-,-,-,o,-
ital1282,-,-,-,-,-,v,-,E,-,r,-,m,-,-,e,-
ligu1248,-,-,-,-,-,v,-,E,-,r,-,m,-,-,u,-
ligu1248,-,-,-,-,-,v,-,e,-,r,-,m,-,-,e,-
geno1240,-,-,-,-,-,v,-,E,-,r,-,m,-,-,e,-
sici1248,-,-,-,-,-,v,-,E,-,r,-,m,-,-,i,-
sici1248,-,-,-,-,-,v,-,E,-,r,-,m,-,-,i,-
sici1248,-,-,-,-,-,v,y,E,-,r,-,m,-,-,u,-
mess1247,-,-,-,-,-,v,-,E,-,r,-,m,-,-,i,-
neap1235,-,-,-,-,-,v,-,E,-,r,-,m,-,-,3,-
stan1289,k,-,-,-,-,u,-,-,-,k,-,-,-,-,-,-
stan1289,k,-,-,-,-,u,-,-,-,k,-,-,-,-,-,-
stan1289,k,-,-,-,-,u,-,-,-,k,-,-,-,-,-,-
stan1289,k,-,-,-,-,u,-,-,-,k,-,-,-,-,-,-
stan1289,k,-,-,-,-,u,-,-,-,k,-,-,-,-,-,-
stan1289,k,-,-,-,-,u,-,-,-,k,-,-,-,-,-,-
cast1244,l,o,m,b,r,i,-,-,-,8,-,-,-,-,-,-
ruma1247,-,-,-,-,-,v,-,E,-,r,-,m,-,-,-,-
surs1244,-,-,-,-,-,v,y,E,-,r,-,m,-,-,-,-
lowe1386,-,-,-,-,-,v,-,E,-,r,-,m,-,-,-,-
surm1243,-,-,-,-,-,v,-,E,-,r,-,m,-,-,-,-
prov1235,-,-,-,-,-,v,-,E,-,r,-,m,-,-,e,-
dalm1243,-,-,-,-,-,v,y,a,-,r,-,m,-,-,-,-
barb1262,-,-,-,-,-,e,-,-,-,r,-,m,-,-,e,-
camp1261,-,-,-,-,-,b,-,-,-,r,E,m,i,n,i,-
megl1237,d,-,-,-,-,y,-,a,-,r,-,m,-,-,i,-
arom1237,-,-,-,-,-,Z,-,e,-,r,-,m,-,-,u,-
roma1327,-,-,-,-,-,-,-,-,-,r,3,m,-,-,3,-
roma1327,-,-,-,-,-,v,y,e,-,r,-,m,-,-,e,-
istr1245,-,-,-,-,-,x,L,e,-,r,-,m,-,-,u,-
