language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
khal1275,-,-,k,-,-,h,-,-,-,e,-,-,-,-,-,l,-,-,-,-,e,-
thul1246,-,-,k,-,-,h,-,-,-,o,-,-,o,t,-,l,-,-,-,-,e,-
kulu1253,-,-,k,-,-,h,-,-,-,o,-,-,-,-,-,l,-,-,-,-,o,-
kulu1253,-,-,t,-,-,-,-,-,-,o,-,-,-,-,-,t,-,-,-,-,o,-
limb1266,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,k,-,-,-,-,-,-
bant1281,-,-,d,-,-,z,-,-,-,a,m,m,3,-,-,y,-,-,-,-,-,-
chep1245,-,-,d,-,-,Z,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-
chep1245,-,-,d,-,-,Z,-,-,-,3,m,-,-,-,-,b,-,-,a,-,i,-
oldb1235,-,-,-,-,-,7,-,-,-,a,k,-,u,-,-,n,-,-,-,-,-,-
nucl1310,-,-,-,-,-,m,-,-,-,o,t,8,o,-,-,m,-,-,y,-,o,-
lash1243,-,-,-,-,-,p,-,-,-,a,-,-,-,-,-,n,-,-,S,-,o,7
zaiw1241,-,-,l,u,N,l,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,-
maru1249,-,-,-,-,-,p,-,-,-,3,-,-,-,-,-,N,-,-,S,-,o,7
pela1242,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,a,p
xian1249,-,-,T,-,-,h,-,-,-,o,-,-,-,-,-,-,-,-,-,-,o,t
acha1249,-,-,-,-,-,p,-,-,Z,a,p,-,-,-,-,Z,-,-,-,-,a,-
lisu1250,-,-,-,-,-,h,-,-,-,o,N,-,o,-,-,m,-,-,-,-,o,-
jing1260,-,-,-,-,-,N,-,a,m,a,-,-,-,-,-,N,-,-,-,-,a,-
drun1238,-,-,-,-,-,s,-,-,-,u,-,-,-,-,-,n,-,-,-,-,o,7
haka1240,-,-,-,-,-,z,-,-,-,a,a,-,a,-,-,t,-,e,e,-,e,-
karb1241,-,-,t,-,-,h,-,-,-,a,i,-,a,-,-,-,-,-,-,-,i,-
horp1240,-,-,t,-,-,h,-,-,-,3,-,-,-,-,-,m,-,t,S,-,E,-
eree1240,-,-,-,-,-,p,-,-,-,a,-,-,-,-,-,-,-,-,-,-,a,-
japh1234,-,-,-,-,-,l,-,-,-,o,-,-,o,n,n,b,-,-,-,-,a,-
japh1234,-,-,t,-,-,h,-,-,-,a,-,-,-,-,-,m,-,t,S,-,o,t
zhab1238,-,-,-,-,-,y,-,o,-,o,-,-,-,-,-,-,-,d,z,o,o,-
tang1334,-,-,r,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,r
tang1334,-,-,z,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
tang1334,-,-,z,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
byan1241,-,-,-,-,-,l,-,-,-,a,-,-,i,-,-,r,-,-,-,-,i,-
rong1264,-,-,-,-,-,s,-,-,-,3,-,-,-,-,-,b,-,-,-,-,-,-
rong1264,-,-,-,-,-,r,u,o,-,o,-,-,-,-,-,k,-,-,-,-,o,-
gahr1239,-,-,t,s,-,h,-,-,-,a,-,-,-,-,-,N,-,-,-,-,i,-
clas1254,-,-,-,-,-,k,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,n
clas1254,-,-,t,-,-,h,-,-,-,a,-,-,-,-,-,m,s,t,S,-,a,d
amdo1237,-,-,t,s,-,h,-,-,-,a,-,-,-,-,-,N,-,-,m,-,E,-
amdo1237,-,-,-,-,-,h,-,-,-,a,-,-,-,-,-,n,-,-,-,-,o,-
utsa1239,-,-,-,-,-,k,-,-,-,a,-,-,-,-,-,N,-,-,k,-,a,-
utsa1239,-,-,t,s,-,h,-,-,-,a,-,-,-,-,-,N,-,-,m,-,a,-
kham1282,y,e,t,s,-,h,-,-,-,E,-,-,-,-,-,7,-,-,-,-,-,-
tsha1245,-,-,t,-,-,h,-,-,-,a,-,-,-,-,-,m,-,t,S,-,e,7
boka1249,-,-,k,3,-,b,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,-
garo1247,-,-,-,-,-,b,-,-,-,e,-,-,-,-,-,b,-,-,-,-,a,k
oldc1244,-,-,-,-,-,g,r,-,-,3,-,-,-,-,-,m,-,-,-,-,-,-
oldc1244,-,-,-,-,-,b,r,o,-,o,-,-,-,-,-,m,-,-,-,-,-,-
