language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
khal1275,-,-,k,-,-,-,-,-,-,e,-,-,k,e,-,-,-,e,-,m,-
thul1246,-,-,k,-,-,-,-,-,-,e,-,-,k,-,-,-,-,e,-,m,-
kulu1253,-,-,g,-,-,-,-,-,-,u,-,-,g,u,r,-,p,a,-,-,-
bahi1252,-,-,k,-,-,-,-,-,-,E,-,-,k,-,-,-,-,E,-,-,-
limb1266,-,-,m,-,-,-,-,-,-,a,-,-,k,-,-,-,-,-,-,-,-
bant1281,-,-,m,-,-,-,-,-,-,a,-,-,k,3,-,-,w,a,-,-,-
chep1245,-,-,g,-,-,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-
chep1245,t,i,k,-,-,-,t,-,-,a,-,-,k,-,-,-,-,-,-,-,-
wayu1241,-,-,k,-,-,-,h,-,-,a,-,-,k,-,t,s,h,i,N,m,i
oldb1235,-,-,n,-,-,-,-,-,-,a,-,-,k,-,-,-,-,-,-,-,-
nucl1310,-,-,n,-,-,-,-,-,-,E,-,-,7,-,-,-,-,-,-,-,-
lash1243,-,-,n,-,-,-,-,-,-,o,-,-,7,-,-,-,-,-,-,-,-
zaiw1241,-,-,n,-,-,-,o,-,-,o,-,-,7,-,-,-,-,-,-,-,-
maru1249,-,-,n,-,-,-,-,-,-,o,-,-,7,-,-,-,-,-,-,-,-
pela1242,-,-,n,-,-,-,-,-,-,a,-,-,7,-,-,-,-,-,-,-,-
xian1249,-,-,n,-,-,-,-,-,-,o,-,-,7,-,-,-,-,-,-,-,-
acha1249,-,-,l,-,-,-,-,-,-,o,-,-,k,-,-,-,-,-,-,-,-
lisu1250,-,-,n,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-
jing1260,-,-,t,-,-,-,S,-,-,a,-,-,N,-,-,-,-,-,-,-,-
drun1238,-,-,n,-,-,-,-,-,-,o,-,-,7,-,-,-,-,-,-,-,-
haka1240,-,-,n,-,-,-,-,-,-,a,-,-,k,-,-,-,-,-,-,-,-
lush1249,-,-,h,-,-,-,a,-,-,a,-,-,N,-,-,-,-,-,-,-,-
lush1249,-,-,d,-,-,-,-,-,-,u,-,-,m,-,-,-,-,-,-,-,-
ukhr1238,-,-,k,h,3,m,3,-,h,a,-,-,N,-,-,-,-,-,-,-,-
ukhr1238,-,-,k,-,-,-,3,t,s,i,-,-,k,-,-,-,-,-,-,-,-
karb1241,-,-,-,-,-,-,i,-,-,i,-,-,k,-,-,-,-,-,-,-,-
eree1240,-,-,5,-,-,-,a,-,-,a,-,-,-,-,-,-,-,-,-,-,-
japh1234,-,-,5,-,-,-,-,-,-,a,-,-,X,-,-,-,-,-,-,-,-
situ1238,k,3,n,-,-,-,-,-,-,a,-,-,k,-,-,-,-,-,-,-,-
zhab1238,-,-,n,-,-,-,a,-,n,a,-,-,-,-,-,-,-,-,-,-,-
tang1334,-,-,n,-,-,-,y,-,-,a,-,-,-,-,-,-,-,-,-,-,-
byan1241,-,-,w,-,-,-,-,-,-,a,-,-,m,-,-,-,d,E,-,-,-
rong1264,-,-,t,-,-,-,-,-,-,i,-,-,N,-,-,-,d,3,-,-,-
gahr1239,k,-,h,-,-,-,-,-,-,a,-,-,-,-,-,-,y,-,-,-,-
clas1254,-,-,n,-,-,-,-,-,-,a,-,-,g,-,-,-,-,-,-,-,-
amdo1237,-,-,n,-,-,-,-,-,-,o,o,k,k,-,-,-,-,o,-,-,-
amdo1237,-,-,n,-,-,-,-,-,-,a,-,X,k,-,-,-,w,o,-,-,-
utsa1239,-,-,n,-,-,-,-,-,-,a,-,-,k,-,-,-,o,o,-,-,-
kham1282,-,-,n,-,-,-,o,-,n,o,-,-,7,-,-,-,-,-,-,-,-
tsha1245,-,-,t,-,-,-,S,-,h,a,-,-,N,-,-,-,l,u,-,-,-
idum1241,-,-,m,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-
diga1241,-,-,m,-,-,-,-,-,-,o,-,-,N,-,-,-,-,-,-,-,-
boka1249,k,a,y,-,-,-,-,-,-,a,-,-,N,-,-,-,-,-,-,-,-
garo1247,-,-,g,-,-,-,i,-,s,i,-,-,m,-,-,-,-,-,-,-,-
rabh1238,-,-,-,-,-,-,-,-,-,a,-,-,k,-,-,-,-,-,-,-,-
guan1279,-,-,h,-,-,-,-,-,-,a,-,-,k,-,-,-,-,-,-,-,-
hakk1236,-,-,v,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
hakk1236,-,-,v,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
beij1235,-,-,x,-,-,-,e,-,-,i,-,-,-,-,-,-,-,-,-,-,-
chao1238,-,o,o,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
chao1239,-,o,o,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
oldc1244,-,-,m,-,-,-,-,-,-,3,-,-,k,-,-,-,-,-,-,-,-
oldc1244,-,-,t,s,-,-,r,-,-,3,-,-,-,-,-,-,-,-,-,-,-
