language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
khal1275,-,-,b,-,-,-,-,-,h,-,-,-,-,e,-,r,-,-,-,-,-
thul1246,-,-,-,-,-,-,-,-,h,-,-,-,-,u,-,t,-,-,-,-,-
kulu1253,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,r,m,-,-,a,-
bahi1252,-,-,-,-,-,-,-,-,b,-,-,-,-,E,-,r,-,-,-,-,-
limb1266,-,-,-,-,-,-,-,-,p,-,-,-,-,E,-,r,-,-,-,-,-
bant1281,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,r,-,-,-,-,-
chep1245,-,-,s,-,-,-,-,-,y,-,-,-,-,u,-,N,-,-,-,-,-
wayu1241,-,-,-,-,-,-,-,-,b,-,-,-,-,o,o,n,-,-,-,-,-
oldb1235,-,-,-,-,-,-,-,-,p,-,y,-,-,a,-,m,-,-,-,-,-
nucl1310,-,-,-,-,-,-,-,-,p,-,y,-,-,o,-,-,-,-,-,-,-
lash1243,-,-,-,-,-,-,-,-,t,-,-,-,-,a,-,N,-,-,-,-,-
zaiw1241,-,-,-,-,-,-,-,-,t,-,-,-,-,a,-,N,-,-,-,-,-
maru1249,-,-,-,-,-,-,-,-,t,-,-,-,-,o,-,-,-,-,-,-,-
pela1242,-,-,-,-,-,-,-,-,t,-,-,-,-,o,-,-,-,-,-,-,-
xian1249,-,-,-,-,-,-,-,-,t,-,S,-,-,a,-,m,-,-,-,-,-
acha1249,-,-,-,-,-,-,-,-,t,-,S,-,-,a,-,m,-,-,-,-,-
lisu1250,-,-,-,-,-,-,-,-,b,-,-,-,-,i,-,-,-,-,-,-,-
jing1260,-,-,-,-,-,-,-,-,p,-,y,-,-,e,-,n,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,b,-,-,-,-,E,-,r,-,-,-,-,-
haka1240,-,-,z,-,-,-,-,-,-,-,u,-,a,a,-,N,z,u,a,a,n
lush1249,-,-,t,-,-,-,-,-,h,-,-,-,-,o,-,-,-,-,-,-,-
lush1249,-,-,t,-,-,-,-,-,h,-,l,-,a,a,w,k,-,-,-,-,-
ukhr1238,-,-,k,-,-,-,-,-,h,3,y,-,o,o,-,N,-,-,-,-,-
karb1241,-,i,n,-,-,-,-,-,g,N,y,-,-,a,-,r,-,-,-,-,-
horp1240,-,-,-,-,-,-,-,-,b,-,y,-,-,o,-,-,-,-,-,-,-
eree1240,-,-,y,-,-,-,-,m,b,-,y,-,-,3,-,m,-,-,-,-,-
japh1234,n,u,q,a,n,b,u,n,b,-,y,-,o,o,-,m,-,-,-,-,-
situ1238,-,-,k,-,-,-,o,-,b,-,y,-,-,o,-,m,-,-,-,-,-
zhab1238,-,-,t,-,-,-,3,-,m,d,z,-,-,i,-,-,-,-,-,-,-
tang1334,-,-,d,-,-,-,-,-,Z,-,y,w,o,o,-,w,-,-,-,-,-
byan1241,-,-,-,-,-,-,-,-,p,-,h,-,-,a,-,N,m,-,-,o,-
rong1264,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,r,-,-,-,-,-
gahr1239,-,-,-,-,-,-,-,-,b,u,y,-,-,a,-,N,-,-,-,-,-
clas1254,-,-,N,-,-,-,-,-,p,-,h,-,-,u,-,r,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,m,-,p,-,-,3,-,r,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,p,-,h,-,-,3,-,r,-,-,-,-,-
utsa1239,-,-,-,-,-,-,-,-,p,-,h,-,-,i,-,r,-,-,-,-,-
kham1282,-,-,-,-,-,-,-,-,-,-,d,-,-,i,-,-,-,-,-,-,-
tsha1245,-,-,-,-,-,-,-,-,p,-,h,-,-,e,-,n,-,-,-,-,-
idum1241,-,-,-,-,-,-,-,-,-,-,l,-,-,i,-,-,-,-,-,-,-
diga1241,-,-,-,-,-,-,-,-,-,-,y,-,-,i,-,m,-,-,-,-,-
boka1249,-,-,-,-,-,-,-,-,b,-,y,-,-,a,-,r,-,-,-,-,-
garo1247,-,-,-,-,-,-,-,-,b,-,-,-,-,i,-,l,-,-,-,a,-
rabh1238,-,-,-,-,-,-,-,-,p,-,-,-,-,u,-,-,-,-,-,-,-
guan1279,-,-,-,-,-,-,-,-,f,-,e,-,-,i,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,f,-,-,-,-,i,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,p,-,-,-,-,i,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,-,-,-,f,-,u,-,-,i,-,-,-,-,-,-,-
beij1235,-,-,-,-,-,-,-,-,f,-,e,-,-,i,-,-,-,-,-,-,-
chao1238,-,-,-,-,-,-,-,-,p,-,u,-,-,E,-,-,-,-,-,-,-
chao1239,-,-,-,-,-,-,-,-,p,-,u,-,-,E,-,-,-,-,-,-,-
