language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
thul1246,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,d,-,-,o
kulu1253,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,-,i,-,-,s,-,-,-
bahi1252,-,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,n,-,-,-
limb1266,-,-,-,-,t,-,-,-,-,o,-,g,a,-,-,-,-,-,-,-,-,-,N,-,-,-
bant1281,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
chep1245,-,h,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,d,-,-,o
wayu1241,-,u,-,-,b,-,-,-,-,o,-,-,o,-,-,-,-,-,-,-,-,-,N,-,-,-
oldb1235,-,-,-,-,r,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,7,-,-,-
nucl1310,-,-,-,-,S,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-
lash1243,-,-,-,-,S,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,k,-,-,-
zaiw1241,-,-,-,-,x,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
maru1249,-,-,-,-,x,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,k,-,-,-
pela1242,-,-,-,-,x,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,i,-,-,-
xian1249,-,-,-,-,5,-,-,-,-,-,-,-,o,-,7,s,-,-,-,a,-,-,i,-,-,-
acha1249,-,-,-,-,n,-,-,-,-,y,-,-,o,-,7,s,-,-,-,-,-,-,i,-,-,7
lisu1250,-,-,-,-,m,-,-,-,-,-,-,-,u,-,d,Z,-,-,-,-,-,-,E,-,-,-
jing1260,-,-,-,-,S,-,-,-,-,o,-,-,o,-,-,-,-,-,-,-,-,-,N,-,-,-
drun1238,m,u,-,t,S,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,n,-,-,-
haka1240,-,-,-,-,m,-,-,-,-,a,-,-,a,-,-,a,-,-,-,i,-,-,i,-,-,-
karb1241,-,-,-,-,p,-,h,r,-,a,-,-,a,-,-,-,-,-,-,-,-,-,N,-,-,-
horp1240,-,-,-,-,N,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
horp1240,-,-,-,-,N,-,-,-,-,-,-,-,3,s,t,-,-,-,-,e,-,-,-,-,-,-
eree1240,-,d,-,-,Z,-,-,-,-,-,-,-,3,g,o,-,-,-,-,o,-,-,-,-,-,-
japh1234,-,u,-,-,X,-,-,-,-,-,-,-,o,-,r,-,-,-,-,i,-,-,-,-,-,-
situ1238,-,-,-,-,t,-,-,-,-,-,-,-,3,-,t,S,-,-,-,i,-,-,-,-,-,-
zhab1238,-,-,-,-,N,-,-,-,-,-,-,-,u,-,-,p,-,-,-,i,-,-,-,-,-,-
tang1334,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,y,-,-,-,i,-,-,r,-,-,-
byan1241,-,h,-,-,r,-,-,-,-,-,-,-,a,-,t,-,-,-,-,a,-,-,m,-,-,-
rong1264,n,h,-,-,n,-,-,-,-,-,-,-,3,m,t,S,-,-,-,a,-,-,r,-,-,-
gahr1239,-,-,-,-,d,-,-,-,-,-,-,-,u,-,t,S,-,-,-,i,-,-,-,-,-,-
clas1254,-,-,-,-,m,-,-,d,-,-,-,-,u,-,-,-,-,-,-,-,-,-,n,-,-,-
amdo1237,-,r,-,-,N,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,n,-,-,-
amdo1237,-,h,-,-,N,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,n,t,s,o
utsa1239,-,-,-,-,t,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
utsa1239,-,-,-,-,N,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,l,-,-,a
kham1282,-,-,-,-,N,-,-,-,-,-,-,-,i,-,-,S,h,o,-,o,-,-,7,-,-,-
tsha1245,-,-,-,-,g,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,p,-,-,-
idum1241,-,e,-,-,h,-,-,-,-,e,-,y,o,-,-,-,-,-,-,-,-,-,-,-,-,-
boka1249,-,-,-,-,h,o,o,N,b,o,-,-,o,-,-,-,-,-,-,-,-,-,N,-,-,-
garo1247,-,-,-,-,m,-,-,-,-,i,k,k,a,-,-,-,-,-,-,-,-,-,n,-,g,o
rabh1238,-,b,o,o,m,-,-,-,-,a,-,l,a,-,-,-,-,-,-,-,-,-,N,-,-,-
guan1279,-,-,-,-,t,-,s,h,-,-,-,-,i,n,-,p,-,-,-,-,-,i,n,-,-,-
hakk1236,-,-,-,-,t,-,S,h,-,i,-,-,e,n,-,m,-,-,-,i,-,e,n,-,-,-
hakk1236,-,-,-,-,t,-,s,h,-,-,-,-,E,n,-,m,-,-,-,-,-,E,n,-,-,-
beij1235,-,-,-,-,t,-,S,h,-,i,-,-,a,n,-,p,-,-,-,i,r,a,n,-,-,-
beij1235,-,-,-,-,t,-,S,h,-,i,-,-,a,n,t,h,-,o,o,u,-,-,-,-,-,-
chao1238,-,-,-,-,t,-,s,-,-,-,-,-,o,-,-,-,-,-,-,i,-,-,-,-,-,-
chao1239,-,-,-,-,t,-,s,-,-,-,-,-,a,-,-,-,-,-,-,i,-,-,-,-,-,-
