language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
khal1275,-,-,7,-,-,-,-,-,o,-,m,-,-,-,-
thul1246,-,-,g,-,-,-,-,-,u,-,-,-,-,-,-
kulu1253,-,N,k,-,-,-,-,-,3,-,-,-,-,-,-
bahi1252,a,m,-,-,-,-,-,-,-,-,-,-,-,-,-
bahi1252,a,m,t,s,-,-,-,-,a,-,m,-,-,-,-
limb1266,-,-,k,h,-,-,-,-,u,-,n,E,-,-,-
bant1281,-,-,k,h,-,-,-,-,o,-,-,-,-,-,-
wayu1241,-,-,k,-,-,-,-,-,o,o,m,i,-,-,-
oldb1235,-,-,-,s,-,-,-,-,u,-,-,-,-,-,-
nucl1310,-,-,t,8,-,-,-,-,u,-,-,-,-,-,-
lash1243,-,-,N,y,-,-,-,-,a,-,N,-,-,-,-
zaiw1241,-,-,-,y,-,-,-,-,a,-,N,-,-,-,-
maru1249,-,-,-,y,-,-,-,-,o,-,-,-,-,-,-
pela1242,-,-,-,y,-,-,-,-,o,-,-,-,-,-,-
xian1249,-,-,5,-,-,-,-,-,a,-,N,-,-,-,-
acha1249,-,-,n,y,-,-,-,-,a,-,N,-,-,-,-
lisu1250,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
jing1260,-,-,-,S,-,-,-,-,i,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,o,-,N,-,-,-,-
haka1240,-,-,-,-,-,-,-,-,a,-,m,a,-,h,7
lush1249,-,-,-,-,-,-,-,-,a,-,n,i,-,-,-
lush1249,-,-,-,-,-,-,-,-,a,-,m,a,-,-,h
ukhr1238,-,-,-,7,-,-,-,-,a,-,-,-,-,-,-
karb1241,a,-,-,l,-,-,-,-,a,-,-,a,n,g,N
horp1240,-,-,t,h,-,3,-,-,-,-,-,-,-,-,-
eree1240,-,-,T,-,-,3,-,-,-,-,-,-,-,-,-
japh1234,-,-,-,-,-,u,-,Z,o,-,-,-,-,-,-
situ1238,-,-,-,w,-,3,-,y,o,-,-,-,-,-,-
situ1238,-,-,-,m,-,3,-,-,-,-,-,-,-,-,-
zhab1238,-,-,N,-,-,u,-,Z,u,-,-,-,-,-,-
zhab1238,-,-,t,-,-,u,-,Z,u,-,-,-,-,-,-
tang1334,-,-,t,s,y,i,-,y,-,-,-,-,-,-,-
rong1264,-,-,d,h,-,-,-,-,E,-,-,-,-,-,-
gahr1239,-,-,t,-,-,-,-,-,a,-,l,-,-,-,-
clas1254,-,-,k,h,-,-,-,-,o,-,-,-,-,-,-
amdo1237,-,-,k,h,-,-,-,-,o,-,-,-,-,-,-
amdo1237,-,-,k,h,-,3,r,g,o,-,-,-,-,-,-
amdo1237,-,-,k,h,-,3,-,k,a,-,-,-,-,-,-
utsa1239,-,-,k,h,-,o,-,-,o,-,-,-,-,-,-
kham1282,-,-,k,h,-,-,-,-,u,-,-,-,-,-,-
tsha1245,-,-,-,r,-,-,-,-,o,o,7,-,-,-,-
idum1241,e,-,t,S,-,o,-,h,e,-,-,-,-,-,-
diga1241,-,-,t,S,-,-,-,-,e,-,-,-,-,-,-
boka1249,-,-,k,-,-,-,-,-,o,-,-,-,-,-,-
garo1247,-,-,-,b,-,-,-,-,i,-,-,a,-,-,-
rabh1238,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
guan1279,-,-,k,h,-,e,-,-,i,-,-,-,-,-,-
hakk1236,-,-,k,-,-,-,-,-,i,-,-,-,-,-,-
hakk1236,-,-,k,-,-,-,-,-,i,-,-,-,-,-,-
beij1235,-,-,t,h,-,-,-,-,a,-,-,-,-,-,-
chao1238,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
chao1239,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
