language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
khal1275,-,-,d,-,-,-,h,-,-,-,i,-,-
thul1246,-,-,-,-,-,-,k,u,d,-,i,-,n
limb1266,-,-,-,-,-,-,w,a,r,-,o,-,k
bant1281,w,a,t,a,m,k,h,-,-,-,a,-,n
oldb1235,-,-,-,-,-,-,k,-,-,-,a,-,n
nucl1310,-,-,-,-,-,-,k,-,-,-,o,-,-
lash1243,-,-,-,-,-,-,n,-,-,-,o,-,N
zaiw1241,-,-,-,-,-,-,n,o,-,-,o,-,N
maru1249,-,-,-,-,-,-,n,-,-,-,o,-,N
pela1242,-,-,-,-,-,-,n,-,-,-,o,-,N
acha1249,-,-,-,-,-,-,n,-,-,-,o,-,N
lisu1250,-,-,-,e,-,-,l,-,-,-,u,b,e
jing1260,-,-,-,-,-,-,n,-,-,-,o,o,N
drun1238,-,-,-,-,-,-,n,-,-,-,u,-,-
haka1240,-,-,-,-,-,-,t,i,b,-,u,a,l
lush1249,-,-,-,-,-,-,d,i,-,-,i,-,l
karb1241,-,-,-,-,-,-,b,-,-,-,i,-,-
horp1240,-,-,-,-,m,-,t,s,h,-,u,-,-
eree1240,-,-,-,-,m,-,t,s,h,u,u,-,-
japh1234,-,-,-,-,m,-,t,s,h,-,u,-,-
situ1238,-,-,-,-,m,-,t,s,h,-,o,-,-
zhab1238,-,-,-,-,p,-,t,s,h,-,u,-,-
zhab1238,-,-,-,-,-,-,-,S,-,-,i,-,-
byan1241,-,-,-,-,T,-,t,S,h,o,o,-,-
rong1264,-,-,-,-,-,-,d,Z,h,-,i,-,l
clas1254,-,-,-,-,m,-,t,s,h,-,o,-,-
amdo1237,-,-,-,-,m,-,t,s,h,-,o,-,-
amdo1237,-,-,-,-,-,-,t,s,h,-,o,-,-
utsa1239,-,-,-,-,-,-,t,s,h,o,o,-,-
kham1282,-,-,-,-,-,-,t,s,h,-,u,-,-
tsha1245,-,-,-,-,-,-,t,s,h,-,o,-,-
idum1241,-,-,-,-,-,-,t,-,-,-,u,w,i
diga1241,-,-,-,-,-,-,t,-,-,-,u,w,i
boka1249,-,-,-,-,-,-,S,i,l,-,3,-,-
boka1249,-,-,-,-,-,-,S,i,m,-,u,-,-
guan1279,-,-,-,-,-,-,-,-,w,-,u,-,-
hakk1236,-,-,-,-,-,-,-,-,f,-,u,-,-
hakk1236,-,-,-,-,-,-,-,-,v,-,u,-,-
beij1235,-,-,-,-,-,-,-,-,x,-,u,-,-
chao1238,-,-,-,-,-,-,-,o,o,-,u,-,-
chao1239,-,-,-,-,-,-,-,o,o,-,u,-,-
oldc1244,-,-,-,-,-,-,-,-,g,-,a,-,-
