language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
khal1275,s,a,a,p,h,-,-,-,-,o,-,m,-
thul1246,-,-,-,b,l,-,-,-,-,a,-,m,-
kulu1253,s,i,-,b,-,-,-,-,-,o,-,-,-
bahi1252,s,o,-,p,h,-,-,-,-,o,-,-,-
limb1266,t,E,-,t,l,-,-,-,-,a,-,-,-
bant1281,k,u,-,-,s,-,-,-,-,i,-,-,-
chep1245,h,a,7,b,-,-,-,-,-,a,-,N,-
wayu1241,l,-,-,-,-,-,-,-,-,o,-,-,-
oldb1235,7,a,-,-,r,-,o,-,-,o,-,k,-
nucl1310,-,-,-,-,-,-,o,y,w,E,-,7,-
nucl1310,-,-,-,-,-,-,o,y,w,E,-,7,-
lash1243,-,a,-,-,f,-,-,-,-,u,-,7,-
lash1243,-,a,-,-,f,-,-,-,-,u,-,7,-
zaiw1241,-,a,-,-,x,-,-,-,-,a,-,7,-
zaiw1241,-,a,-,-,x,-,-,-,-,a,-,7,-
maru1249,-,-,-,p,h,-,-,-,-,o,-,7,-
maru1249,-,-,-,-,f,-,-,-,-,o,-,7,-
maru1249,-,-,-,p,h,-,-,-,-,o,-,7,-
pela1242,s,a,-,k,f,-,-,-,-,a,-,7,-
pela1242,s,a,-,k,f,-,-,-,-,a,-,7,-
xian1249,-,a,-,x,Z,-,o,-,-,o,-,7,-
xian1249,-,a,-,x,Z,-,o,-,-,o,-,7,-
acha1249,-,a,-,x,Z,-,o,-,-,o,-,7,-
acha1249,-,a,-,x,Z,-,o,-,-,o,-,7,-
lisu1250,-,e,-,p,h,-,i,-,-,E,-,-,-
jing1260,-,-,-,-,l,-,-,-,-,a,-,p,-
drun1238,-,o,-,N,l,-,-,-,-,o,-,p,-
drun1238,-,-,-,-,l,-,-,-,-,o,-,p,-
haka1240,-,-,-,-,n,-,-,-,-,a,-,7,-
lush1249,-,-,-,-,n,-,-,-,-,a,-,h,-
ukhr1238,7,a,-,-,n,-,-,-,-,a,-,-,-
karb1241,-,a,-,-,r,v,o,-,-,o,-,-,-
horp1240,l,-,-,-,b,-,-,-,-,a,-,l,3
eree1240,l,-,-,-,p,-,-,-,h,a,T,h,o
japh1234,t,o,-,y,w,-,-,-,-,a,-,X,-
situ1238,t,a,-,i,w,-,-,-,-,a,-,k,-
zhab1238,l,o,-,o,m,-,-,-,-,a,-,-,-
tang1334,b,a,-,-,-,-,-,-,-,a,-,-,-
byan1241,-,-,-,-,p,-,-,-,-,a,-,t,-
rong1264,-,-,-,-,p,-,-,-,-,a,-,t,-
gahr1239,-,-,-,-,l,-,-,-,-,a,-,p,-
clas1254,l,o,-,o,m,-,-,-,-,a,-,-,-
amdo1237,l,o,-,o,m,-,-,-,-,a,-,-,-
amdo1237,l,o,-,o,m,-,-,-,-,a,-,-,-
utsa1239,l,o,-,o,m,-,-,-,-,a,-,-,-
kham1282,l,o,-,o,m,-,-,-,-,a,-,-,-
tsha1245,S,-,-,a,b,-,-,-,-,a,-,-,-
idum1241,-,-,-,-,n,-,-,-,-,o,-,N,-
diga1241,-,-,-,-,n,-,-,-,-,o,-,N,-
boka1249,-,a,-,-,n,-,-,-,-,3,-,-,-
garo1247,b,i,-,-,y,-,-,-,-,a,-,k,-
rabh1238,t,-,-,-,S,-,-,-,-,a,-,k,-
guan1279,s,i,-,-,y,-,-,-,-,i,-,p,-
hakk1236,S,u,-,-,Z,-,-,-,-,a,-,7,-
hakk1236,s,u,-,-,y,-,-,-,-,a,-,k,-
chao1238,h,i,-,-,-,-,-,-,-,e,-,7,-
chao1239,h,i,-,-,-,-,-,-,-,o,-,7,-
oldc1244,l,-,-,-,-,-,-,-,-,a,-,p,-
