language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
khal1275,-,-,d,z,h,e,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
thul1246,-,-,d,z,-,3,-,-,d,z,-,-,-,-,3,l,-,u,-,-,-,N,-,-,-
kulu1253,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,u,-,-,-,r,-,-,-
bahi1252,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,o,-,-,-,N,k,-,o
limb1266,-,-,t,-,-,o,-,-,k,s,-,-,-,-,-,-,-,o,-,-,-,N,-,-,-
bant1281,-,-,t,s,-,o,o,m,t,s,-,-,-,-,-,-,-,u,-,-,-,r,-,-,i
chep1245,-,-,-,s,-,-,-,-,-,y,-,-,-,-,a,l,-,u,-,-,-,N,-,-,-
wayu1241,-,-,t,s,-,-,-,-,-,h,-,-,-,-,a,d,z,u,-,-,-,-,-,-,-
oldb1235,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,o,o,n,-,n,-,-,-
nucl1310,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,o,u,-,-,-,-,-,-
lash1243,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,o,-,-,-,m,-,-,-
zaiw1241,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,u,-,-,-,m,-,-,-
maru1249,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,m,-,-,-
pela1242,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,m,-,-,-
xian1249,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,u,-,-,-,m,-,-,-
acha1249,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,u,-,-,-,m,-,-,-
lisu1250,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
jing1260,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,u,-,-,-,m,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,u,-,-,-,k,-,-,o
haka1240,-,-,-,-,-,-,-,-,-,t,-,-,l,a,a,-,-,a,-,-,-,N,-,-,-
lush1249,-,-,-,-,-,-,-,-,-,t,-,-,l,-,a,-,-,a,-,-,-,N,-,-,-
ukhr1238,-,-,-,-,-,-,-,-,-,k,-,-,-,-,3,p,h,u,-,-,-,N,-,-,-
karb1241,-,-,-,-,-,i,-,-,-,n,g,N,l,-,o,-,-,o,-,n,g,N,-,-,-
horp1240,-,-,-,-,-,-,-,-,-,r,-,-,-,-,i,r,-,a,-,-,-,v,-,-,-
horp1240,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
eree1240,-,-,-,p,-,-,-,-,-,h,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
japh1234,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,g,-,o,-,-,-,-,-,-,-
situ1238,-,-,-,-,-,-,-,-,-,t,-,-,-,-,o,w,-,o,-,-,-,t,-,-,-
tang1334,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,3,-,-,-,r,-,-,-
byan1241,-,-,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-
rong1264,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,r,-,-,-
gahr1239,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
clas1254,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
clas1254,-,-,-,s,-,-,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,N,-,-,-
amdo1237,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-
amdo1237,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-
utsa1239,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
kham1282,-,-,-,-,-,-,-,-,-,Z,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-
tsha1245,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,i,-,-,w,u,-,-,-
idum1241,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,y,-,-,o
diga1241,-,-,t,-,-,-,-,-,-,h,-,-,-,-,-,-,-,u,-,-,-,y,-,-,o
boka1249,d,i,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,N,-,-,-
boka1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,o,-,-,g,-,-,o
garo1247,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,a,-,-,-,7,b,r,i
rabh1238,-,-,-,-,-,-,-,-,-,h,-,-,-,-,a,-,-,a,-,-,-,t,S,-,u
guan1279,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-
hakk1236,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-
beij1235,-,-,-,-,-,-,-,-,-,S,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-
chao1238,-,-,-,-,-,-,-,-,-,s,-,-,-,-,u,-,-,a,-,-,-,-,-,-,-
chao1239,-,-,-,-,-,-,-,-,-,s,-,-,-,-,u,-,-,a,-,-,-,-,-,-,-
oldc1244,-,-,-,-,-,-,-,-,-,s,-,-,-,-,N,r,-,a,-,-,-,r,-,-,-
