language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
khal1275,-,-,-,-,-,s,-,-,-,E,-,-,m,-,-,-,-,-,-,-
thul1246,p,-,-,-,-,h,-,-,r,3,-,-,p,-,-,-,-,-,-,-
kulu1253,-,-,-,-,-,s,-,-,-,a,-,-,m,-,-,-,-,-,-,-
bahi1252,-,-,-,-,-,s,-,-,-,E,-,-,N,-,g,-,i,r,-,i
limb1266,-,-,-,-,-,s,-,-,-,a,-,-,p,-,-,-,-,-,-,-
bant1281,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,e,n,-,-
chep1245,-,-,-,-,-,-,-,-,r,u,-,-,t,-,-,-,-,-,-,-
wayu1241,r,o,o,t,-,s,-,-,h,i,-,-,N,-,-,-,-,-,-,-
oldb1235,-,-,-,-,-,-,-,-,-,-,-,-,m,r,y,-,a,t,-,-
nucl1310,-,-,-,-,-,-,-,-,-,o,-,-,m,-,y,-,i,7,-,-
lash1243,-,-,-,-,-,-,-,-,-,o,-,-,p,-,-,-,o,n,-,-
zaiw1241,-,-,-,-,-,-,-,-,-,a,-,-,p,-,-,-,u,n,-,-
maru1249,-,-,-,-,-,p,-,-,-,a,-,-,n,-,-,-,-,-,-,-
pela1242,-,-,-,-,-,s,-,-,-,a,k,k,y,-,-,-,i,-,-,-
xian1249,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,E,t,-,-
acha1249,-,-,-,-,-,-,-,-,-,-,-,-,m,-,Z,u,a,t,-,-
lisu1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,t,S,e
jing1260,-,-,-,-,-,t,-,-,-,o,-,-,N,-,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,o,-,-,N,r,-,-,u,-,-,-
haka1240,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,m,-,-
lush1249,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,u,N,-,-
lush1249,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,u,l,-,-
ukhr1238,-,-,-,-,-,7,-,-,-,a,-,-,N,3,y,-,u,N,-,-
karb1241,-,-,-,-,-,t,-,-,-,i,-,-,m,-,-,-,u,r,-,-
horp1240,-,-,-,-,-,s,-,-,h,3,-,-,r,-,k,-,o,-,-,-
eree1240,-,-,-,-,-,s,-,-,-,-,-,-,r,-,-,-,3,m,-,-
japh1234,-,-,-,t,o,z,-,-,-,-,-,-,r,-,-,-,o,m,-,-
situ1238,-,-,-,t,a,s,-,-,-,-,-,-,r,-,-,-,a,m,-,-
tang1334,-,-,-,d,-,Z,-,-,-,-,-,-,y,-,-,-,u,-,-,-
byan1241,y,-,-,d,-,Z,-,-,-,a,-,-,r,-,-,-,i,-,-,-
rong1264,-,-,-,d,-,Z,-,-,-,o,-,-,r,-,-,-,o,-,-,-
gahr1239,-,-,-,-,-,b,-,-,-,a,-,-,t,-,-,-,a,k,-,-
clas1254,r,-,-,t,-,s,-,-,-,a,-,-,b,-,-,-,a,-,-,-
amdo1237,x,-,-,t,-,s,-,-,-,a,-,-,p,-,-,-,a,-,-,-
amdo1237,h,-,-,t,-,s,-,-,-,a,-,-,p,-,-,-,a,-,-,-
utsa1239,-,-,-,t,-,s,-,-,-,-,-,-,-,-,-,-,a,-,-,-
kham1282,n,-,-,d,-,Z,-,-,-,E,-,-,7,-,-,-,-,-,-,-
tsha1245,-,-,-,t,-,s,-,-,-,-,-,-,-,-,-,-,a,-,-,-
idum1241,-,-,-,-,-,h,o,-,-,o,-,-,r,o,-,-,o,-,-,-
diga1241,-,-,-,-,-,x,-,-,-,o,-,-,r,o,-,-,i,-,-,-
boka1249,-,-,-,-,-,p,a,-,p,u,-,-,r,-,-,-,-,-,-,-
garo1247,-,-,-,-,-,y,-,-,-,a,-,-,7,d,-,-,i,l,-,-
rabh1238,-,-,-,t,-,S,i,t,r,a,-,-,-,-,-,-,-,N,-,-
guan1279,-,-,-,-,-,k,-,-,-,a,-,-,n,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,k,-,-,-,i,-,-,n,-,-,-,-,-,-,-
hakk1236,-,-,-,-,-,k,-,-,-,i,-,-,n,-,-,-,-,-,-,-
beij1235,-,-,-,-,-,k,-,-,-,3,-,-,n,-,-,-,-,-,-,-
chao1238,-,-,-,-,-,k,-,-,-,-,-,-,N,-,-,-,-,-,-,-
chao1239,-,-,-,-,-,k,-,-,-,E,-,-,N,-,-,-,-,-,-,-
oldc1244,-,-,-,-,-,k,-,-,-,3,-,-,r,-,-,-,-,-,-,-
