language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
haka1240,-,-,t,-,h,a,i,-,-,-,z,-,i,n,g,N,-,-,-,-,-,-,-,-,-,-,-,-
lush1249,-,-,n,-,-,a,k,-,-,-,t,-,u,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-
karb1241,p,e,n,-,-,a,-,-,-,-,-,-,a,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-
khal1275,-,-,d,-,-,-,-,-,-,-,-,-,i,-,-,s,-,-,-,E,-,-,-,-,-,-,-,-
thul1246,-,-,d,-,-,-,-,-,-,-,-,-,i,-,-,k,-,-,-,a,-,-,-,-,-,-,-,-
kulu1253,-,-,d,-,-,-,-,-,-,-,-,-,e,-,-,s,-,-,-,a,-,-,-,-,-,-,-,-
bahi1252,-,-,d,-,-,-,-,-,-,-,-,-,i,-,l,l,-,-,-,a,-,-,-,-,-,-,-,-
limb1266,-,-,t,-,-,a,n,-,-,-,d,-,i,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-
bant1281,-,-,m,-,-,a,N,k,o,o,l,-,e,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-
chep1245,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,-,a,-,-,N,-,-,-,-,-
wayu1241,-,-,n,-,-,-,-,-,-,-,-,-,u,-,-,k,-,-,-,u,-,-,n,-,-,-,-,-
lash1243,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,p,y,-,o,-,-,N,-,y,-,e,i
zaiw1241,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,7,m,-,-,a,-,-,-,-,-,-,-,-
maru1249,-,-,n,-,-,-,-,-,-,-,-,-,E,-,-,7,m,-,-,o,-,-,n,-,-,-,E,7
pela1242,-,-,n,-,-,-,-,-,-,-,-,-,E,-,-,7,m,-,-,a,-,-,n,-,-,-,E,7
acha1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,h,-,a,-,-,n,-,-,-,a,p
nucl1310,-,-,n,-,-,-,-,-,-,-,-,-,E,-,-,7,p,h,y,o,-,-,-,-,-,-,-,-
lisu1250,-,-,S,-,-,-,-,-,-,-,-,-,o,-,-,g,-,-,-,u,-,-,-,-,-,-,-,-
drun1238,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,s,-,-,-,o,N,-,n,-,-,-,i,-
japh1234,f,-,s,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
situ1238,-,-,s,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,o,-,s,n,-,-,-,i,-
zhab1238,-,-,s,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,o,m,3,n,-,-,-,i,-
amdo1237,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,N,-,h,k,a,-
amdo1237,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,N,-,r,k,a,-
tsha1245,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,m,-,-,n,-,-,-,i,N
byan1241,T,-,t,S,h,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,n,-,-,-,a,n
rong1264,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,o,-,-,r,-,-,-,o,-
gahr1239,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,o,-,-,t,-,S,-,i,-
idum1241,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,n,o,y,-,o,-
diga1241,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,s,-,-,-,u,n,-,n,-,-,-,-,-
boka1249,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,r,-,-,-,3,-
garo1247,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,m,b,-,i,-,-,n,-,-,-,o,-
rabh1238,-,-,g,-,-,-,-,-,-,-,-,-,a,-,-,-,p,h,-,u,-,-,N,-,-,-,-,-
hakk1236,m,i,n,-,-,-,-,-,-,-,t,S,o,-,-,-,-,-,-,o,-,-,n,-,-,-,i,7
hakk1236,m,i,n,-,-,-,-,-,-,-,t,s,a,-,-,-,-,-,-,u,-,-,N,-,-,-,i,t
