language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
khal1275,-,-,-,-,-,-,7,-,-,-,-,-,-,-,i,-,-,k,-,-
thul1246,-,-,-,-,-,g,w,-,-,-,-,-,-,-,i,-,-,-,-,-
kulu1253,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,s,k,a,-
kulu1253,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,s,-,-,-
limb1266,-,-,-,-,a,n,-,-,-,-,-,-,-,-,i,-,-,-,-,-
bant1281,-,-,-,-,a,n,k,-,-,-,-,-,-,-,a,-,n,-,-,-
chep1245,-,-,-,-,-,-,N,-,-,-,-,-,-,-,i,-,-,-,-,-
nucl1310,-,-,-,-,-,-,N,-,o,t,-,o,-,-,o,-,-,-,-,-
lash1243,-,-,-,-,-,-,N,-,o,n,-,-,-,-,u,-,N,-,-,-
zaiw1241,-,-,-,-,-,-,N,-,a,m,-,o,-,-,o,-,7,-,-,-
maru1249,-,-,-,-,-,-,N,-,o,n,-,a,-,-,u,-,N,-,-,-
pela1242,-,-,-,-,-,-,N,-,a,m,-,a,-,-,-,-,7,-,-,-
xian1249,-,-,-,-,-,-,N,-,o,t,-,-,-,-,u,-,-,-,-,-
acha1249,-,-,-,-,-,-,N,-,o,t,-,-,-,-,u,-,7,-,-,-
lisu1250,-,-,-,-,-,-,N,u,o,n,-,-,-,-,u,-,-,-,-,-
jing1260,-,-,-,-,a,-,n,-,-,t,-,h,-,-,e,-,-,-,-,-
drun1238,-,-,-,-,i,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-
haka1240,-,k,-,-,a,-,n,-,-,m,-,-,-,-,a,-,h,-,-,-
karb1241,-,-,-,-,-,-,n,-,-,-,-,-,-,-,e,-,-,-,-,-
horp1240,-,-,-,-,-,-,N,-,a,-,-,y,-,-,i,-,-,-,-,-
eree1240,-,-,-,-,-,-,N,g,3,-,-,5,T,i,i,-,-,-,-,-
japh1234,-,-,-,-,i,-,Z,-,o,-,-,-,-,-,-,-,-,-,-,-
tang1334,-,-,-,-,-,-,g,y,3,-,m,y,-,-,3,-,-,-,-,-
tang1334,-,-,-,-,-,-,g,y,3,-,m,y,-,-,i,-,-,-,-,-
byan1241,-,-,-,-,-,-,-,-,-,-,-,y,-,-,e,-,-,-,-,-
rong1264,-,-,-,-,i,-,n,-,-,d,-,Z,-,-,3,-,-,-,-,-
gahr1239,-,h,-,-,i,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-
clas1254,-,-,-,-,-,-,h,o,o,-,s,k,-,-,o,-,-,-,o,l
amdo1237,-,-,-,-,-,-,N,-,3,t,S,h,-,-,o,-,-,-,-,-
amdo1237,-,-,-,-,-,-,7,o,o,t,S,h,-,-,o,-,-,-,-,-
utsa1239,-,-,-,-,-,-,N,-,a,t,s,h,-,o,o,-,-,-,-,-
kham1282,-,-,-,-,-,-,N,-,e,-,-,-,-,-,i,-,-,-,-,-
tsha1245,-,-,-,-,-,-,7,-,a,-,-,-,-,-,i,-,t,-,e,-
tsha1245,-,-,-,-,-,-,7,-,a,-,-,-,-,-,i,-,-,-,-,-
idum1241,-,-,-,-,-,-,N,o,o,l,-,-,-,-,o,o,N,-,-,-
diga1241,-,-,-,-,-,-,N,-,-,t,S,-,-,-,u,-,-,-,-,-
boka1249,-,-,-,-,-,-,N,-,o,l,-,-,-,-,u,-,-,-,-,-
garo1247,T,h,t,s,i,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-
