language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
khal1275,-,7,-,-,i,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
thul1246,-,g,-,-,a,n,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
kulu1253,-,y,-,-,e,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
limb1266,k,h,-,-,E,n,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-
bant1281,k,h,-,-,a,n,-,-,-,-,-,a,n,-,i,n,-,-,-,-,-
chep1245,-,-,-,-,-,n,-,-,-,-,-,i,-,-,-,N,-,-,-,-,-
nucl1310,-,-,-,-,-,m,-,-,-,-,-,i,-,-,-,-,-,t,o,o,-
lash1243,-,-,-,-,-,N,y,a,N,n,-,u,-,-,-,N,-,-,-,-,-
zaiw1241,-,-,-,-,-,-,-,-,-,n,-,u,-,-,-,N,-,m,o,o,7
maru1249,-,-,-,-,-,n,-,o,-,n,a,u,-,-,-,N,-,-,-,-,-
pela1242,-,-,-,-,-,n,-,a,-,-,-,u,-,-,-,N,-,m,-,a,7
xian1249,-,-,-,-,-,n,-,-,-,-,-,o,-,-,-,N,-,t,-,u,-
acha1249,-,-,-,-,-,n,-,-,-,-,-,u,-,-,a,N,-,t,-,u,7
lisu1250,-,-,-,-,-,n,-,-,-,-,-,u,-,-,-,w,-,-,-,o,-
jing1260,-,-,-,-,-,n,-,-,-,-,-,a,-,-,-,n,-,t,h,e,-
drun1238,-,-,-,-,-,n,-,-,-,-,-,u,-,-,-,n,-,-,-,i,N
haka1240,-,-,-,-,-,n,-,-,-,-,-,a,-,-,-,n,g,m,-,a,h
karb1241,-,-,-,-,-,n,-,-,-,-,-,a,-,-,-,n,g,N,-,-,-
eree1240,-,-,-,-,-,n,-,-,-,-,-,3,-,-,-,5,-,T,-,i,-
japh1234,-,-,-,-,-,n,-,-,-,-,-,u,-,-,-,Z,-,-,-,o,-
byan1241,-,-,-,-,-,g,-,-,-,-,-,a,-,-,-,n,-,-,-,i,-
gahr1239,-,-,-,-,-,h,-,-,-,-,-,a,-,-,-,n,-,S,-,i,-
clas1254,k,-,-,-,-,h,-,-,-,y,-,o,-,-,-,-,-,-,-,o,d
amdo1237,t,-,-,S,-,h,-,-,-,-,-,3,-,-,-,t,-,S,h,o,-
amdo1237,T,-,-,S,-,h,-,-,-,-,-,3,-,-,-,t,-,S,h,o,-
utsa1239,T,h,t,s,e,r,-,-,-,-,-,a,-,-,N,t,-,s,h,o,-
kham1282,-,-,-,-,-,h,-,-,-,-,-,e,-,-,-,-,-,-,-,i,-
tsha1245,-,-,-,-,-,n,-,-,-,-,-,a,-,-,i,t,-,-,-,e,-
diga1241,-,-,-,-,o,m,-,-,-,-,-,e,t,-,-,S,-,-,-,u,-
boka1249,-,-,-,-,-,m,-,-,-,-,-,3,l,-,u,n,-,-,-,o,-
garo1247,-,-,-,-,-,n,-,-,-,-,-,a,7,o,o,n,-,-,-,-,g
