language,x1,x2,x3,x4,x5,x6,x7
kumy1244,m,-,i,y,-,-,-
noga1249,m,-,u,y,-,-,-
kara1464,m,-,i,y,-,-,-
kara1465,m,-,u,y,-,u,-
kara1467,m,-,i,y,-,-,-
kaza1248,m,-,u,y,-,-,-
kirg1245,m,e,e,-,-,-,-
uzbe1247,m,-,i,y,-,a,-
uigh1240,m,-,e,y,-,E,-
bash1264,m,-,e,y,-,e,-
midd1325,m,-,-,-,-,i,-
bara1273,m,-,i,y,-,E,-
nort2686,m,-,e,-,-,e,s
sout2694,m,-,e,-,-,e,-
oldu1238,m,-,e,y,-,i,-
gaga1249,b,-,e,y,-,i,n
anat1259,b,-,e,y,-,i,n
crim1257,m,-,i,y,-,-,-
nort2697,b,-,e,y,-,i,n
turk1304,b,-,e,y,n,i,-
sala1264,m,-,e,N,-,e,s
khak1248,m,-,i,-,-,i,-
shor1247,m,-,i,-,-,s,-
midd1324,m,-,i,-,-,i,s
tuvi1240,m,-,e,-,-,e,-
tofa1248,m,-,-,-,-,e,-
turk1303,m,-,e,-,-,i,n
yaku1245,m,-,e,y,-,i,-
chuv1255,m,-,i,m,-,e,-
