language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
kumy1244,-,-,y,-,-,-,-,a,x,-,-,a,-
kumy1244,-,-,q,-,-,u,r,u,y,-,-,-,-
noga1249,-,-,S,-,-,e,t,-,-,-,-,-,-
kara1464,-,-,-,-,-,-,-,-,y,a,x,a,-
kara1464,-,-,k,-,-,u,r,u,y,-,-,-,-
kara1465,-,-,q,-,-,u,y,u,r,-,-,-,-
kara1467,-,-,S,-,-,e,t,-,-,-,-,-,-
kaza1248,-,-,S,-,-,e,t,-,-,-,-,-,-
kirg1245,t,-,S,-,-,e,t,-,-,-,-,-,-
uzbe1247,-,-,q,-,-,i,r,-,x,-,-,o,q
uzbe1247,-,-,t,-,-,-,-,-,S,-,-,e,t
uigh1240,y,a,q,-,-,a,-,-,-,-,-,-,-
uigh1240,-,-,q,-,-,a,-,-,S,y,-,a,r
uigh1240,-,-,q,-,-,i,r,-,-,-,-,-,-
uigh1240,-,-,q,-,-,i,r,-,x,-,-,a,k
uigh1240,-,-,t,-,-,-,-,-,S,-,-,E,t
bash1264,-,-,q,-,-,u,r,-,-,-,-,-,-
bash1264,-,-,s,-,-,i,t,-,-,-,-,-,-
midd1325,-,-,q,-,-,u,r,u,y,-,-,-,-
midd1325,-,-,t,-,S,i,t,-,-,-,-,-,-
bara1273,-,-,-,-,y,a,x,a,-,-,-,-,-
bara1273,-,-,t,-,s,i,t,-,-,-,-,-,-
nort2686,-,-,q,-,-,u,y,-,-,-,-,-,-
sout2694,-,-,q,-,-,u,r,u,-,-,-,-,-
oldu1238,-,-,q,-,-,u,d,u,x,-,-,-,-
crim1257,t,-,S,-,-,e,t,-,-,-,-,-,-
nort2697,-,-,G,u,r,a,G,-,-,-,-,-,-
turk1304,t,-,S,-,-,e,t,-,-,-,-,-,-
sala1264,-,-,q,-,-,a,-,-,S,-,-,-,-
sala1264,-,-,q,-,-,u,r,-,x,-,-,u,-
west2402,-,-,q,-,-,u,z,u,x,-,-,-,-
khak1248,-,-,X,-,-,u,r,i,-,-,-,-,-
shor1247,-,-,q,-,-,a,S,-,-,-,-,-,-
shor1247,-,-,q,-,-,u,r,-,-,-,-,-,-
shor1247,-,-,q,-,-,u,r,u,y,-,-,-,-
midd1324,-,-,q,-,-,u,r,-,-,-,-,-,-
tuvi1240,-,-,q,-,-,u,d,u,x,-,-,-,-
tofa1248,-,-,q,-,-,u,d,u,x,-,-,-,-
dolg1241,-,-,k,-,-,u,r,u,-,-,-,-,-
yaku1245,-,-,k,-,-,u,t,u,-,-,-,-,-
chuv1255,-,-,X,-,-,i,r,i,-,-,-,-,-
