language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
kumy1244,-,-,-,i,t,S,-,e,k,-,-
noga1249,-,-,-,i,-,S,-,e,k,-,-
kara1464,-,-,-,i,t,s,-,i,g,i,-
kara1465,-,-,-,i,-,C,-,e,g,i,-
kara1467,-,-,-,i,-,S,-,e,k,-,-
kaza1248,-,-,-,i,-,S,-,e,k,-,-
kirg1245,-,-,-,i,t,S,-,e,g,i,-
uzbe1247,-,-,-,i,t,S,-,a,k,-,-
uigh1240,-,-,-,i,t,S,-,E,y,-,-
bash1264,-,-,-,e,-,s,-,E,k,-,-
midd1325,-,-,-,e,t,S,-,E,k,-,-
bara1273,-,-,-,E,t,S,-,E,w,-,-
nort2686,-,-,-,i,-,j,-,e,g,e,-
sout2694,-,-,-,i,t,S,-,e,g,e,-
gaga1249,-,-,-,i,t,S,-,-,-,-,-
anat1259,b,a,x,u,r,s,-,a,k,-,-
crim1257,-,-,-,i,t,S,-,e,k,-,-
nort2697,b,a,x,u,r,s,-,a,G,-,-
turk1304,-,-,-,i,t,S,-,e,g,e,-
sala1264,p,-,-,a,x,s,-,u,X,-,-
west2402,-,-,-,e,t,S,-,i,k,u,-
khak1248,-,-,-,i,t,S,-,e,g,e,-
shor1247,-,-,-,i,-,S,t,e,-,-,-
midd1324,-,-,-,i,-,j,-,i,-,-,-
tuvi1240,-,-,-,i,-,Z,-,i,n,-,-
tofa1248,b,-,-,a,r,s,-,u,q,-,-
yaku1245,-,-,-,o,-,h,-,o,x,o,s
chuv1255,p,-,-,u,r,Z,-,3,-,-,-
