language,x1,x2,x3,x4,x5,x6,x7,x8
kumy1244,-,y,a,N,-,-,u,r
noga1249,-,y,a,m,x,-,u,r
kara1464,-,y,a,m,x,-,u,r
kara1465,-,j,a,N,-,-,u,r
kara1467,-,Z,a,-,w,-,u,n
kaza1248,-,Z,a,N,b,-,u,r
kirg1245,-,j,a,m,x,-,u,r
uzbe1247,-,y,o,m,x,-,i,r
uigh1240,-,y,a,m,x,-,u,r
bash1264,-,y,a,m,x,-,u,r
midd1325,-,y,a,N,g,-,u,r
bara1273,-,y,a,n,x,-,u,r
nort2686,n,y,a,-,N,m,u,r
sout2694,-,j,a,-,S,-,-,-
oldu1238,-,y,a,-,x,m,u,r
gaga1249,-,y,a,-,-,m,u,r
anat1259,-,y,a,-,x,m,u,r
crim1257,-,y,a,-,x,-,u,s
nort2697,-,y,a,-,x,-,u,s
turk1304,-,y,a,-,x,-,u,s
sala1264,-,y,a,-,x,m,u,r
west2402,-,y,a,-,x,m,u,r
khak1248,-,n,a,-,N,m,u,r
shor1247,-,n,a,-,x,b,u,r
midd1324,-,s,-,-,-,-,u,x
tofa1248,e,s,-,-,k,-,e,n
turk1303,-,y,a,-,x,-,u,s
dolg1241,-,h,a,m,-,-,u,r
yaku1245,-,s,a,m,-,-,u,r
chuv1255,-,S,u,m,-,-,3,r
