language,x1,x2,x3,x4,x5,x6,x7,x8
kumy1244,-,-,-,-,o,N,-,-
noga1249,-,-,-,-,o,N,-,-
kara1464,-,-,-,-,o,n,-,-
kara1465,-,-,-,-,o,N,-,-
kara1467,-,-,-,-,o,N,-,-
kaza1248,-,-,-,-,o,N,-,-
kirg1245,-,-,-,-,o,N,-,-
uigh1240,-,-,-,-,o,N,-,-
bash1264,-,-,-,-,u,N,-,-
nort2686,-,-,-,-,o,N,-,-
sout2694,-,-,-,-,o,N,-,-
crim1257,-,-,-,-,o,N,-,-
gaga1249,s,a,a,t,a,r,a,f
nort2697,s,-,-,-,a,x,-,-
turk1304,s,-,-,-,a,x,-,-
khak1248,-,-,-,-,o,N,-,-
shor1247,-,-,-,-,o,N,-,-
sala1264,s,-,-,-,u,X,-,-
west2402,-,-,-,-,o,N,-,-
turk1303,b,-,-,-,o,d,-,-
tuvi1240,-,-,-,-,o,N,-,-
dolg1241,-,-,-,-,u,N,a,-
yaku1245,-,-,-,-,u,N,a,-
chuv1255,s,u,l,d,3,m,-,-
