language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
guan1279,t,-,-,-,S,i,-,-,n,-,-,-,-,-
yuet1238,t,-,-,-,s,i,y,E,n,-,-,-,-,-
chan1326,t,-,-,-,s,i,-,e,-,-,-,-,-,-
chen1267,t,-,-,-,S,i,y,a,n,-,-,-,-,-
tuol1234,t,-,-,-,S,i,y,e,n,-,-,-,-,-
sand1270,-,-,-,-,S,-,-,a,m,-,-,-,-,-
sand1270,k,-,a,n,h,y,-,a,N,-,-,-,-,-
east2363,-,-,-,-,S,i,y,3,n,-,-,-,-,-
east2363,t,-,-,-,S,i,-,-,n,-,-,-,-,-
liuq1235,-,-,-,-,8,i,-,-,n,-,-,-,-,-
liuq1235,t,-,-,-,S,i,-,-,n,-,-,-,-,-
liuq1235,t,-,-,-,s,i,-,o,n,-,-,-,-,-
cent2009,-,-,-,-,-,-,-,-,n,-,-,-,a,-
cent2009,-,-,-,-,s,i,y,3,n,-,-,-,-,-
cent2009,-,-,-,-,-,-,-,-,n,-,-,-,a,-
dong1287,8,-,-,-,-,-,-,o,N,-,-,-,-,-
nunu1247,n,-,-,-,-,-,-,o,k,-,-,-,-,-
numa1251,s,-,-,-,-,-,-,u,N,-,-,-,-,-
east2370,t,-,-,-,s,i,y,e,n,-,-,-,-,-
nort2747,7,-,-,-,-,-,-,o,-,-,-,-,-,-
sout2754,t,y,a,-,s,-,-,o,-,-,-,-,-,-
chua1248,v,-,-,-,-,-,-,o,-,-,-,-,-,-
larg1235,w,-,-,-,-,-,-,o,-,-,-,-,-,-
nort2749,s,-,a,-,s,-,h,3,-,-,-,-,-,-
cent1394,s,-,-,-,-,-,-,o,N,-,-,-,-,-
luop1235,n,-,-,-,-,-,-,o,-,-,-,-,-,-
luop1235,n,-,-,-,-,-,-,a,-,-,-,-,-,-
jion1236,-,-,-,-,8,-,-,e,n,-,-,-,-,-
shee1238,t,-,-,-,s,-,-,i,n,-,-,-,-,-
pahn1237,-,-,-,-,-,-,-,-,n,-,-,-,e,i
pahn1237,-,-,-,-,-,-,-,-,n,p,h,y,e,-
youn1235,t,-,-,-,s,-,y,e,n,-,-,-,-,-
east2371,t,-,-,-,S,-,-,a,n,-,-,-,-,-
west2430,7,-,-,-,-,-,-,o,-,-,-,-,-,-
kimm1245,t,-,-,-,-,-,-,o,N,-,-,-,-,-
iumi1238,t,-,-,-,s,-,-,i,n,-,-,-,-,-
biao1254,t,-,-,-,s,-,-,u,n,-,-,-,-,-
dzao1238,t,-,-,-,-,-,-,e,n,-,-,-,-,-
sich1238,m,y,E,-,z,-,-,o,-,-,-,-,-,-
