language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11
jion1236,-,-,-,-,8,-,-,3,N,-,-
shee1238,-,-,-,-,s,-,-,u,N,k,o
pahn1237,q,-,a,-,s,-,-,o,N,-,-
pahn1237,q,-,a,-,s,-,-,u,N,-,-
youn1235,t,-,-,-,h,-,-,a,N,-,-
east2371,k,-,i,-,s,-,-,a,N,-,-
west2430,q,-,o,-,s,-,-,o,N,-,-
east2370,-,-,-,-,s,-,-,u,N,-,-
nort2747,p,-,o,-,s,-,h,o,N,-,-
sout2754,-,-,-,-,s,-,-,a,m,-,-
nort2749,q,-,3,-,s,-,h,a,-,-,-
cent1394,-,-,-,-,s,-,-,a,N,-,-
luop1235,q,-,o,t,s,-,h,o,N,-,-
luop1235,7,-,a,t,s,-,h,u,N,-,-
larg1235,7,-,a,t,s,-,h,a,u,-,-
kimm1245,-,-,-,-,t,-,-,o,N,-,-
iumi1238,-,-,-,-,b,-,-,u,N,-,-
biao1254,-,-,-,-,s,u,w,3,-,-,-
dzao1238,-,-,-,-,h,-,-,i,N,-,-
liuq1235,-,-,-,-,d,-,-,o,k,-,-
liuq1235,-,-,-,-,d,-,-,o,k,-,-
sich1238,k,w,a,-,t,-,-,u,-,-,-
