language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
guan1279,-,-,-,-,l,-,E,-,N,-
guan1279,-,-,k,-,w,-,o,-,N,-
xian1255,-,-,-,-,l,-,E,-,N,-
nann1239,-,-,-,-,l,-,E,-,N,-
yuet1238,-,-,l,i,y,-,o,-,N,-
yuet1238,-,-,k,u,w,-,o,-,N,-
yang1307,-,-,-,-,k,-,o,-,N,-
guiy1235,-,-,n,i,y,-,a,-,N,-
wuha1234,-,-,n,i,y,-,a,-,N,-
chan1326,-,-,n,i,y,-,a,-,n,-
chan1326,-,-,k,u,w,-,a,-,n,-
chen1267,-,-,m,i,-,-,-,-,n,-
chen1267,-,-,n,i,y,-,a,-,N,-
kunm1234,-,-,l,i,y,-,a,-,-,-
hain1237,-,-,l,i,y,-,a,-,N,-
pand1262,-,-,n,-,d,-,a,-,N,-
sand1270,-,-,n,-,d,-,a,-,N,-
east2363,-,-,-,-,y,-,o,a,N,-
east2363,-,-,-,-,l,-,o,a,N,-
liuq1235,-,-,-,-,Z,-,o,3,N,7
liuq1235,-,-,-,-,x,-,o,-,N,-
liuq1235,-,-,-,-,y,-,o,-,N,7
cent2009,-,-,-,-,r,-,o,-,N,-
cent2009,-,-,-,-,8,-,o,-,N,-
cent2009,-,-,-,-,r,-,o,3,N,-
dong1287,-,-,Z,-,-,-,a,-,N,-
nunu1247,-,-,z,u,w,-,3,-,N,-
numa1251,-,-,k,-,w,-,a,-,n,-
east2370,-,-,f,-,-,-,a,-,n,-
nort2747,-,-,f,-,-,-,a,-,N,-
sout2754,t,-,h,-,-,-,a,-,u,-
chua1248,p,o,k,-,-,-,e,-,-,-
larg1235,-,-,t,-,S,-,i,-,-,-
nort2749,-,-,q,-,-,-,e,-,-,-
cent1394,-,-,x,-,w,-,a,-,-,-
luop1235,-,-,X,-,w,-,e,-,n,-
luop1235,t,3,X,-,w,-,e,-,n,-
jion1236,-,-,k,-,w,-,-,-,i,-
shee1238,-,-,k,h,w,-,e,-,i,-
pahn1237,-,-,n,-,y,-,e,-,i,-
pahn1237,-,-,n,p,y,-,e,-,-,-
youn1235,-,-,k,-,w,-,a,-,n,-
east2371,-,-,m,-,y,-,e,-,-,-
west2430,-,-,m,-,Z,-,e,-,i,-
kimm1245,-,-,g,-,w,-,a,-,N,-
iumi1238,-,-,g,-,y,-,a,-,N,-
biao1254,-,-,g,-,w,-,a,-,N,-
dzao1238,-,-,v,-,y,-,a,-,N,-
sich1238,-,-,-,-,m,a,a,-,-,-
