language,x1,x2,x3,x4,x5,x6
guan1279,-,l,-,-,o,i
yuet1238,-,l,-,-,o,i
chan1326,-,l,-,-,a,i
chan1326,-,n,-,-,a,i
chen1267,-,l,-,-,a,i
chen1267,-,n,-,-,a,i
guil1241,-,l,-,-,a,i
pand1262,p,h,-,-,a,-
sand1270,-,t,-,-,a,N
sand1270,-,t,-,-,a,N
east2363,-,t,-,-,a,u
east2363,-,t,-,-,a,u
liuq1235,-,t,-,-,a,u
liuq1235,-,t,-,-,a,u
liuq1235,-,t,-,-,a,u
cent2009,-,t,-,-,a,u
cent2009,-,t,-,-,a,u
cent2009,-,t,-,-,a,u
dong1287,-,l,-,-,-,o
nunu1247,-,l,-,-,-,o
numa1251,-,l,-,-,a,u
east2370,-,l,-,-,o,-
nort2747,-,t,-,-,a,-
sout2754,-,l,-,-,a,u
chua1248,-,t,u,w,a,-
larg1235,-,d,-,-,a,-
nort2749,-,t,-,-,u,-
cent1394,-,t,-,-,a,-
luop1235,-,8,-,-,o,-
luop1235,-,z,-,-,a,-
jion1236,-,l,-,-,3,u
shee1238,-,n,-,-,-,u
pahn1237,-,l,-,-,o,-
pahn1237,-,t,-,-,e,i
youn1235,-,t,-,-,o,-
east2371,-,l,-,-,3,u
west2430,-,l,-,-,-,o
iumi1238,-,t,-,-,a,i
biao1254,-,t,-,-,a,-
dzao1238,-,t,-,-,o,i
sich1238,-,l,-,-,a,-
