language,x1,x2,x3,x4,x5,x6,x7,x8,x9
guan1279,-,-,S,-,i,y,-,u,-
yuet1238,-,-,s,-,a,-,-,u,-
chan1326,-,-,S,-,a,-,-,u,-
chen1267,-,-,k,w,a,-,-,-,-
chen1267,-,-,s,-,a,-,-,u,-
guil1241,-,-,s,-,o,-,-,u,-
pand1262,-,-,S,-,i,y,3,u,-
sand1270,-,-,s,-,-,y,e,u,-
sand1270,-,-,s,-,-,y,e,u,-
east2363,-,-,s,-,i,y,o,u,-
east2363,-,-,s,-,i,-,-,u,-
liuq1235,-,-,8,-,i,-,-,u,7
liuq1235,-,-,s,-,i,-,-,u,-
liuq1235,-,-,8,-,i,y,-,o,i
cent2009,-,-,8,-,i,-,-,u,-
cent2009,-,-,8,-,i,y,a,u,-
cent2009,-,-,8,-,i,-,-,u,-
dong1287,-,-,s,-,-,-,-,u,-
nunu1247,-,-,n,-,-,-,-,u,i
numa1251,-,-,S,-,-,-,-,a,-
east2370,-,-,S,-,-,-,-,o,-
nort2747,-,-,S,-,-,-,-,u,-
sout2754,t,-,s,-,-,-,-,a,-
chua1248,t,-,S,-,e,-,-,u,-
larg1235,d,-,Z,-,e,-,-,i,-
nort2749,-,-,s,-,-,-,-,3,-
cent1394,-,-,Z,-,-,-,-,u,-
luop1235,-,-,z,-,-,-,-,o,-
luop1235,t,3,z,-,-,-,-,o,-
jion1236,-,-,S,-,a,-,-,u,-
shee1238,t,-,s,-,h,-,-,u,-
pahn1237,t,-,S,-,e,-,-,u,-
pahn1237,t,-,S,-,e,-,-,u,-
youn1235,t,-,s,h,e,-,-,u,-
west2430,-,-,Z,-,-,-,-,o,-
kimm1245,-,-,t,-,-,-,-,o,-
iumi1238,t,-,s,-,-,-,-,u,-
biao1254,t,-,s,-,h,-,-,o,-
dzao1238,-,-,h,-,-,-,-,u,-
