language,x1,x2,x3,x4,x5,x6,x7,x8
guan1279,-,f,-,-,e,i,-,-
yuet1238,-,f,-,-,-,i,-,-
chan1326,-,f,-,-,e,i,-,-
chen1267,-,f,-,-,e,i,-,-
guil1241,-,f,-,-,e,i,-,-
tuol1234,-,f,-,-,3,3,-,-
pand1262,-,v,-,-,y,3,n,-
sand1270,-,v,-,-,y,3,n,-
sand1270,-,v,-,-,y,3,n,-
liuq1235,-,b,-,-,-,i,n,7
liuq1235,-,b,-,-,-,u,n,7
dong1287,-,Z,-,-,3,N,-,-
numa1251,-,Z,-,-,a,n,-,-
east2370,-,Z,-,-,a,N,-,-
nort2747,-,Z,-,-,a,N,-,-
sout2754,-,Z,-,-,a,n,-,-
chua1248,-,Z,-,-,a,N,-,-
larg1235,-,Z,-,-,a,u,-,-
nort2749,-,Z,-,-,o,-,-,-
cent1394,-,Z,u,w,a,-,-,-
jion1236,-,y,-,-,-,i,-,-
shee1238,-,y,-,-,-,i,-,-
pahn1237,-,y,-,-,e,i,-,-
pahn1237,-,Z,-,-,e,-,-,-
youn1235,N,y,-,-,-,i,-,-
west2430,-,Z,-,-,-,i,-,-
kimm1245,-,d,-,-,a,i,-,-
iumi1238,-,d,-,-,a,i,-,-
biao1254,-,d,-,-,a,i,-,-
dzao1238,-,s,-,-,e,i,-,-
sich1238,-,b,-,-,-,i,-,-
