language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
jion1236,-,-,-,-,-,-,w,e,-,-,-,-,-
shee1238,-,-,-,-,-,-,n,e,p,-,u,-,-
pahn1237,-,-,-,7,-,-,-,a,w,e,i,-,-
pahn1237,-,-,-,t,S,i,n,a,-,-,i,-,-
youn1235,-,-,-,t,-,-,-,3,k,-,i,-,N
east2371,-,-,-,q,-,-,-,a,-,-,N,-,-
west2430,-,-,-,p,-,-,-,o,-,-,-,-,-
east2370,-,-,-,Z,-,-,-,o,-,-,-,-,-
nort2747,-,-,-,Z,-,-,-,u,-,-,-,-,-
sout2754,-,-,-,Z,-,-,-,a,-,-,-,-,-
nort2749,-,-,-,q,-,-,-,3,p,-,a,-,-
cent1394,-,-,-,S,-,-,-,3,N,-,-,-,-
luop1235,-,-,-,7,-,-,-,3,Z,-,o,-,N
luop1235,-,-,-,q,-,-,-,o,Z,-,u,-,N
larg1235,-,-,-,v,-,-,-,a,-,-,u,-,-
kimm1245,-,-,-,l,-,-,-,a,-,-,N,-,-
iumi1238,-,-,-,g,-,-,-,u,-,-,-,-,-
biao1254,-,-,-,b,-,-,-,u,-,-,-,-,-
dzao1238,t,-,-,S,-,-,-,a,-,-,N,-,-
east2363,-,-,-,k,-,-,w,a,-,-,n,-,-
east2363,p,o,u,k,-,-,w,a,-,-,n,-,-
liuq1235,-,-,-,k,-,-,w,a,-,-,n,-,7
liuq1235,-,-,-,k,-,-,-,o,-,-,N,-,-
liuq1235,-,-,-,k,-,-,w,a,-,-,n,-,-
liuq1235,-,-,-,-,-,-,p,u,-,-,-,-,-
cent2009,-,-,-,k,-,-,w,a,-,-,n,-,-
cent2009,-,-,-,7,-,-,-,3,i,-,l,a,u
cent2009,-,-,-,k,-,-,w,a,-,-,n,-,-
sich1238,-,-,-,m,o,o,v,3,-,-,-,-,-
