language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
jion1236,-,-,-,-,-,S,-,-,-,o,-,-,-,-
shee1238,k,-,a,-,k,h,-,-,-,i,-,-,-,-
pahn1237,-,-,-,-,-,N,-,-,-,u,-,-,-,-
pahn1237,n,-,-,-,-,k,-,-,-,u,-,-,-,-
youn1235,-,-,-,-,-,s,-,-,-,o,-,-,-,-
east2371,-,-,-,-,-,q,a,t,3,u,-,-,-,-
west2430,-,-,-,-,-,S,i,t,-,o,-,-,-,-
nort2747,t,-,-,-,S,h,-,-,-,u,t,S,h,a
sout2754,-,-,-,-,-,k,-,-,-,a,-,-,-,-
nort2749,t,-,3,-,k,h,-,-,-,3,-,-,-,-
cent1394,-,-,-,-,k,w,-,-,-,o,-,-,-,-
luop1235,t,s,3,u,k,h,-,-,-,o,-,-,-,-
larg1235,k,h,a,u,k,h,-,-,a,u,-,-,-,-
kimm1245,-,-,-,-,-,S,-,-,-,a,t,-,-,-
iumi1238,-,-,-,-,-,s,y,-,-,e,t,-,-,-
biao1254,-,-,-,-,-,S,-,-,-,i,t,-,-,-
dzao1238,-,-,-,-,-,k,-,-,-,e,t,-,-,-
east2363,-,-,-,-,-,h,-,-,-,3,m,-,-,-
east2363,-,-,-,-,-,h,-,-,-,o,m,-,-,-
liuq1235,-,-,-,-,-,h,-,-,-,3,m,-,-,-
liuq1235,-,-,-,-,-,h,-,-,-,o,m,-,-,-
liuq1235,-,-,-,-,-,h,-,-,-,o,p,-,-,-
cent2009,-,-,-,-,-,h,-,-,-,u,m,-,-,-
cent2009,-,-,-,-,-,h,-,-,-,u,m,-,-,-
cent2009,-,-,-,-,-,h,-,-,-,u,m,-,-,-
sich1238,-,-,-,-,-,y,-,-,-,o,-,-,-,-
