language,x1,x2,x3,x4,x5,x6,x7,x8
jion1236,-,-,-,-,8,-,a,-
shee1238,-,-,k,a,t,-,a,-
pahn1237,-,-,-,-,t,-,o,-
pahn1237,-,-,-,-,t,-,o,-
youn1235,-,-,-,-,n,-,a,u
east2371,-,-,-,-,d,-,u,-
west2430,-,-,n,-,t,-,u,-
east2370,-,-,-,-,t,-,E,-
nort2747,-,-,-,-,t,-,a,-
sout2754,-,-,-,-,t,-,a,i
nort2749,-,-,n,-,t,-,E,-
cent1394,-,-,n,-,t,-,E,-
luop1235,-,-,n,-,t,-,i,-
luop1235,t,3,n,-,t,e,i,-
larg1235,-,-,n,-,t,-,i,-
kimm1245,-,-,-,-,d,-,a,u
iumi1238,-,-,-,-,d,-,a,u
biao1254,-,-,-,-,d,-,a,-
dzao1238,-,-,-,-,d,-,-,u
east2363,-,-,-,-,y,-,a,i
east2363,-,-,-,-,l,-,3,i
liuq1235,-,-,-,-,Z,-,e,i
liuq1235,-,-,-,-,x,-,a,i
liuq1235,-,-,-,-,y,-,3,i
cent2009,-,-,-,-,r,-,3,i
cent2009,-,-,-,-,8,-,3,i
cent2009,-,-,-,-,r,-,3,i
sich1238,-,-,-,-,x,-,u,-
