language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
jion1236,-,-,-,-,-,t,-,-,S,-,u,l,a,i,-,-,-,-
shee1238,n,o,k,u,-,t,-,-,h,-,-,-,-,i,-,-,-,-
pahn1237,-,-,-,-,-,t,-,-,S,-,-,-,-,o,-,-,-,-
pahn1237,N,-,-,-,-,t,-,-,S,-,-,-,-,o,-,-,-,-
youn1235,N,e,-,-,-,t,-,-,y,-,-,-,e,u,-,-,-,-
west2430,-,-,-,-,-,t,o,m,Z,-,-,-,-,E,-,-,-,-
east2370,-,-,-,-,-,-,-,-,-,-,-,l,-,e,-,-,-,-
nort2747,-,-,-,-,-,-,-,-,-,-,-,l,-,e,-,-,-,i
sout2754,-,-,-,-,-,t,-,-,y,e,u,l,-,a,-,-,-,-
nort2749,-,-,-,-,-,t,-,-,S,-,u,l,-,e,-,-,-,-
cent1394,-,-,-,-,-,-,-,-,-,-,-,l,-,E,-,-,-,n
luop1235,7,3,t,e,n,t,-,-,S,-,-,-,-,o,-,-,-,-
luop1235,q,o,-,-,-,t,-,-,S,-,-,-,-,a,-,-,-,-
larg1235,l,i,-,-,-,-,-,-,y,-,-,-,-,e,-,-,-,-
kimm1245,b,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,N
iumi1238,b,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,N
biao1254,x,-,-,-,-,-,-,-,-,-,-,-,-,3,u,s,u,n
dzao1238,b,-,-,-,-,-,-,-,y,-,-,-,-,a,-,-,-,N
east2363,k,a,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-
east2363,m,a,-,-,-,-,-,-,-,-,-,l,-,a,-,-,-,u
liuq1235,m,a,-,-,-,n,-,-,-,-,-,l,-,a,-,-,-,u
liuq1235,m,a,-,-,-,n,-,-,-,-,-,l,-,a,-,-,-,u
liuq1235,k,a,-,-,-,N,-,-,-,-,-,l,-,i,-,-,-,N
cent2009,k,a,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-
cent2009,k,a,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-
cent2009,k,a,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-
sich1238,7,a,-,-,-,m,-,-,y,-,-,-,-,o,-,-,-,u
