language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
guan1279,-,-,-,k,-,-,-,-,o,k,-,-,o,-,-,-
guan1279,-,-,-,-,-,-,-,-,a,k,-,-,o,-,-,-
xian1255,-,-,-,h,-,-,-,-,i,N,-,-,-,-,-,-
nann1239,-,-,-,h,-,-,-,-,e,N,-,-,-,-,-,-
yuet1238,-,-,-,h,-,-,-,-,i,y,-,-,u,-,N,-
yuet1238,-,a,-,k,-,-,-,-,-,-,-,-,o,-,-,-
yang1307,-,-,-,-,-,-,-,-,a,k,-,-,o,-,-,-
guiy1235,-,-,-,S,-,-,-,-,i,y,-,-,o,-,N,-
wuha1234,-,-,-,S,-,-,-,-,i,y,-,-,o,-,N,-
chan1326,-,-,-,S,-,-,-,-,i,y,-,-,o,-,N,-
chan1326,-,-,-,k,-,-,-,-,o,k,-,-,o,-,-,-
chen1267,-,-,-,S,-,-,-,-,i,y,-,-,o,-,N,-
chen1267,-,-,-,k,-,-,-,-,o,k,-,-,o,-,-,-
kunm1234,-,-,-,k,-,-,u,w,o,k,u,w,o,-,-,-
hain1237,-,-,-,h,-,-,-,-,i,y,-,-,a,-,-,-
pand1262,-,-,-,h,-,-,-,-,-,w,-,-,a,-,i,-
sand1270,-,-,-,f,-,-,-,-,-,-,-,-,a,-,i,-
sand1270,-,-,-,f,-,-,-,-,-,-,-,-,a,-,i,-
east2363,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-
east2363,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-
liuq1235,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-
liuq1235,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-
liuq1235,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-
cent2009,t,a,k,k,-,-,-,-,-,-,-,-,o,-,-,-
cent2009,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-
cent2009,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-
dong1287,-,-,-,t,-,-,-,-,-,-,-,-,o,-,-,-
nunu1247,-,-,-,t,-,h,-,-,-,-,-,-,u,-,-,-
numa1251,-,-,-,t,-,S,i,t,o,l,-,-,o,-,-,-
east2370,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-
nort2747,-,-,-,p,-,-,-,-,-,-,-,-,3,-,-,-
sout2754,-,-,-,t,-,-,-,-,-,-,-,-,e,-,i,-
chua1248,-,-,-,t,-,-,-,-,-,-,-,-,i,-,-,-
larg1235,-,-,-,7,a,m,-,-,a,-,-,-,u,-,-,-
nort2749,-,-,-,t,-,-,-,-,3,l,-,-,o,-,-,-
cent1394,-,-,-,t,-,-,-,-,-,-,-,-,i,-,-,-
luop1235,-,-,-,7,-,-,-,-,3,n,-,-,i,-,n,-
luop1235,-,-,-,7,-,-,-,-,a,n,-,e,i,-,-,-
jion1236,-,-,-,l,-,y,-,-,a,N,-,-,-,-,-,-
shee1238,-,-,-,7,-,-,-,-,a,t,-,-,e,-,-,-
pahn1237,-,-,-,7,-,-,-,-,a,7,-,-,o,-,-,-
pahn1237,-,-,-,l,-,-,-,-,a,-,-,-,u,p,a,-
youn1235,-,-,-,k,-,-,-,-,-,-,-,-,u,-,-,-
east2371,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-
west2430,-,-,-,7,-,-,-,-,o,n,-,-,o,-,-,-
kimm1245,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-
iumi1238,-,-,-,k,-,-,-,-,-,-,-,-,o,t,o,n
biao1254,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-
dzao1238,-,-,-,k,-,-,-,-,-,-,-,-,o,-,-,-
sich1238,-,-,-,7,-,-,-,-,a,y,-,-,i,-,-,-
